Country,Measure Names,month_year,Latitude (generated),Longitude (generated),Value
Brazil,No Measure Value,2000-06,-11.694,-48.978,1208.589633
Argentina,No Measure Value,2000-06,-33.166,-64.31,755.10039
Algeria,No Measure Value,2000-06,28.6045,2.64,800
United States,No Measure Value,2000-07,40.0792,-98.8164,5739
United Kingdom,No Measure Value,2000-07,52.289,-1.259,2420.007414
Sudan,No Measure Value,2000-07,15.739,29.533,179
Saudi Arabia,No Measure Value,2000-07,24.191,44.32,8250
Papua New Guinea,No Measure Value,2000-07,-5.636,142.798,64
Oman,No Measure Value,2000-07,19.85,56.25,971
Norway,No Measure Value,2000-07,61.3701,9.3031,3317
Nigeria,No Measure Value,2000-07,9.3417,7.678,2160
Mexico,No Measure Value,2000-07,22.925,-101.68,2876.106476
Kuwait,No Measure Value,2000-07,29.3169,47.4272,1875
Iraq,No Measure Value,2000-07,33.545,43.278,2560
Iran,No Measure Value,2000-07,33.408,54.0418,3715
Indonesia,No Measure Value,2000-07,-0.739,114.045,1247
Egypt,No Measure Value,2000-07,26.16,28.742,680.396015
Colombia,No Measure Value,2000-07,3.794,-73.606,726.044
Brazil,No Measure Value,2000-07,-11.694,-48.978,1187.189548
Argentina,No Measure Value,2000-07,-33.166,-64.31,740.799106
Algeria,No Measure Value,2000-07,28.6045,2.64,800
United States,No Measure Value,2000-08,40.0792,-98.8164,5789
United Kingdom,No Measure Value,2000-08,52.289,-1.259,2280.945069
Sudan,No Measure Value,2000-08,15.739,29.533,179
Saudi Arabia,No Measure Value,2000-08,24.191,44.32,8400
Papua New Guinea,No Measure Value,2000-08,-5.636,142.798,64
Oman,No Measure Value,2000-08,19.85,56.25,981
Norway,No Measure Value,2000-08,61.3701,9.3031,2993
Nigeria,No Measure Value,2000-08,9.3417,7.678,2200
Mexico,No Measure Value,2000-08,22.925,-101.68,3162.474823
Kuwait,No Measure Value,2000-08,29.3169,47.4272,1845
Iraq,No Measure Value,2000-08,33.545,43.278,2950
Iran,No Measure Value,2000-08,33.408,54.0418,3565
Indonesia,No Measure Value,2000-08,-0.739,114.045,1247
Egypt,No Measure Value,2000-08,26.16,28.742,683.457306
Colombia,No Measure Value,2000-08,3.794,-73.606,641.854
Brazil,No Measure Value,2000-08,-11.694,-48.978,1192.34829
Argentina,No Measure Value,2000-08,-33.166,-64.31,745.548941
Algeria,No Measure Value,2000-08,28.6045,2.64,810
United States,No Measure Value,2000-09,40.0792,-98.8164,5758
United Kingdom,No Measure Value,2000-09,52.289,-1.259,2169.2535
Sudan,No Measure Value,2000-09,15.739,29.533,179
Saudi Arabia,No Measure Value,2000-09,24.191,44.32,8550
Papua New Guinea,No Measure Value,2000-09,-5.636,142.798,64
Oman,No Measure Value,2000-09,19.85,56.25,979
Norway,No Measure Value,2000-09,61.3701,9.3031,2972
Nigeria,No Measure Value,2000-09,9.3417,7.678,2130
Mexico,No Measure Value,2000-09,22.925,-101.68,3172.851349
Kuwait,No Measure Value,2000-09,29.3169,47.4272,1865
Iraq,No Measure Value,2000-09,33.545,43.278,2865
Iran,No Measure Value,2000-09,33.408,54.0418,3720
Indonesia,No Measure Value,2000-09,-0.739,114.045,1247
Egypt,No Measure Value,2000-09,26.16,28.742,708.958824
Colombia,No Measure Value,2000-09,3.794,-73.606,651.28
Brazil,No Measure Value,2000-09,-11.694,-48.978,1299.063
Argentina,No Measure Value,2000-09,-33.166,-64.31,732.313992
Algeria,No Measure Value,2000-09,28.6045,2.64,830
United States,No Measure Value,2000-10,40.0792,-98.8164,5809
United Kingdom,No Measure Value,2000-10,52.289,-1.259,2229.404387
Sudan,No Measure Value,2000-10,15.739,29.533,189
Saudi Arabia,No Measure Value,2000-10,24.191,44.32,8120
Papua New Guinea,No Measure Value,2000-10,-5.636,142.798,64
Oman,No Measure Value,2000-10,19.85,56.25,994
Norway,No Measure Value,2000-10,61.3701,9.3031,3150
Nigeria,No Measure Value,2000-10,9.3417,7.678,2345
Mexico,No Measure Value,2000-10,22.925,-101.68,2860.866211
Kuwait,No Measure Value,2000-10,29.3169,47.4272,1875
Iraq,No Measure Value,2000-10,33.545,43.278,3010
Iran,No Measure Value,2000-10,33.408,54.0418,3750
Indonesia,No Measure Value,2000-10,-0.739,114.045,1247
Egypt,No Measure Value,2000-10,26.16,28.742,665.629791
Colombia,No Measure Value,2000-10,3.794,-73.606,603.221
Brazil,No Measure Value,2000-10,-11.694,-48.978,1314.08271
Argentina,No Measure Value,2000-10,-33.166,-64.31,768.082854
Algeria,No Measure Value,2000-10,28.6045,2.64,830
United States,No Measure Value,2000-11,40.0792,-98.8164,5833
United Kingdom,No Measure Value,2000-11,52.289,-1.259,2346.174843
Sudan,No Measure Value,2000-11,15.739,29.533,189
Saudi Arabia,No Measure Value,2000-11,24.191,44.32,8190
Papua New Guinea,No Measure Value,2000-11,-5.636,142.798,64
Oman,No Measure Value,2000-11,19.85,56.25,1023
Norway,No Measure Value,2000-11,61.3701,9.3031,3229
Nigeria,No Measure Value,2000-11,9.3417,7.678,2325
Mexico,No Measure Value,2000-11,22.925,-101.68,2964.550171
Kuwait,No Measure Value,2000-11,29.3169,47.4272,680
Kazakhstan,No Measure Value,2000-11,48.866,69.772,792.69
Iraq,No Measure Value,2000-11,33.545,43.278,2800
Iran,No Measure Value,2000-11,33.408,54.0418,3780
Indonesia,No Measure Value,2000-11,-0.739,114.045,1247
Egypt,No Measure Value,2000-11,26.16,28.742,661.26549
Colombia,No Measure Value,2000-11,3.794,-73.606,703.114
Brazil,No Measure Value,2000-11,-11.694,-48.978,1365.6341
Argentina,No Measure Value,2000-11,-33.166,-64.31,733.28724
Algeria,No Measure Value,2000-11,28.6045,2.64,810
United States,No Measure Value,2000-12,40.0792,-98.8164,5855
United Kingdom,No Measure Value,2000-12,52.289,-1.259,2411.546742
Sudan,No Measure Value,2000-12,15.739,29.533,189
Saudi Arabia,No Measure Value,2000-12,24.191,44.32,8005
Papua New Guinea,No Measure Value,2000-12,-5.636,142.798,64
Oman,No Measure Value,2000-12,19.85,56.25,993
Norway,No Measure Value,2000-12,61.3701,9.3031,3274
Nigeria,No Measure Value,2000-12,9.3417,7.678,2328
Mexico,No Measure Value,2000-12,22.925,-101.68,3042.748871
Kuwait,No Measure Value,2000-12,29.3169,47.4272,680
Kazakhstan,No Measure Value,2000-12,48.866,69.772,801.5
Iraq,No Measure Value,2000-12,33.545,43.278,166.384
Iran,No Measure Value,2000-12,33.408,54.0418,3780
Indonesia,No Measure Value,2000-12,-0.739,114.045,1247
Egypt,No Measure Value,2000-12,26.16,28.742,716.854044
Colombia,No Measure Value,2000-12,3.794,-73.606,701.192
Brazil,No Measure Value,2000-12,-11.694,-48.978,1419.000419
