Country,Measure Names,month_year,Latitude (generated),Longitude (generated),Value
Iran,No Measure Value,2009-01,33.408,54.0418,3586
Indonesia,No Measure Value,2009-01,-0.739,114.045,761
Ghana,No Measure Value,2009-01,7.258,-1.062,35
Gabon,No Measure Value,2009-01,-0.406,11.914,18
Egypt,No Measure Value,2009-01,26.16,28.742,612.451613
Congo (Brazzaville),No Measure Value,2009-01,0.509,16.08,15
Colombia,No Measure Value,2009-01,3.794,-73.606,616.044
Chad,No Measure Value,2009-01,15.981,18.781,14
Brazil,No Measure Value,2009-01,-11.694,-48.978,1889.106
Argentina,No Measure Value,2009-01,-33.166,-64.31,598.630935
Angola,No Measure Value,2009-01,-12.836,17.808,1826.354839
Algeria,No Measure Value,2009-01,28.6045,2.64,1293
United States,No Measure Value,2009-02,40.0792,-98.8164,5239
United Kingdom,No Measure Value,2009-02,52.289,-1.259,1417.085237
Sudan,No Measure Value,2009-02,15.739,29.533,447.084929
Saudi Arabia,No Measure Value,2009-02,24.191,44.32,7831.5
Papua New Guinea,No Measure Value,2009-02,-5.636,142.798,36.0498
Oman,No Measure Value,2009-02,19.85,56.25,783.321429
Norway,No Measure Value,2009-02,61.3701,9.3031,2167
Nigeria,No Measure Value,2009-02,9.3417,7.678,1877.214286
Mexico,No Measure Value,2009-02,22.925,-101.68,2663.323654
Kuwait,No Measure Value,2009-02,29.3169,47.4272,2000.5
Kazakhstan,No Measure Value,2009-02,48.866,69.772,1497.81
Iraq,No Measure Value,2009-02,33.545,43.278,2186
Iran,No Measure Value,2009-02,33.408,54.0418,3581
Indonesia,No Measure Value,2009-02,-0.739,114.045,904
Ghana,No Measure Value,2009-02,7.258,-1.062,35
Gabon,No Measure Value,2009-02,-0.406,11.914,18
Egypt,No Measure Value,2009-02,26.16,28.742,632.214286
Congo (Brazzaville),No Measure Value,2009-02,0.509,16.08,15
Colombia,No Measure Value,2009-02,3.794,-73.606,647.98
Chad,No Measure Value,2009-02,15.981,18.781,14
Brazil,No Measure Value,2009-02,-11.694,-48.978,1907.967964
Argentina,No Measure Value,2009-02,-33.166,-64.31,611.791555
Angola,No Measure Value,2009-02,-12.836,17.808,1808.857143
Algeria,No Measure Value,2009-02,28.6045,2.64,1222
United States,No Measure Value,2009-03,40.0792,-98.8164,5219
United Kingdom,No Measure Value,2009-03,52.289,-1.259,1451.707025
Sudan,No Measure Value,2009-03,15.739,29.533,446.909581
Saudi Arabia,No Measure Value,2009-03,24.191,44.32,8125.5
Papua New Guinea,No Measure Value,2009-03,-5.636,142.798,35.7914
Oman,No Measure Value,2009-03,19.85,56.25,804.032258
Norway,No Measure Value,2009-03,61.3701,9.3031,2146
Nigeria,No Measure Value,2009-03,9.3417,7.678,2169.193548
Mexico,No Measure Value,2009-03,22.925,-101.68,2652.150192
Kuwait,No Measure Value,2009-03,29.3169,47.4272,2007.5
Kazakhstan,No Measure Value,2009-03,48.866,69.772,1467.89
Iraq,No Measure Value,2009-03,33.545,43.278,2329
Iran,No Measure Value,2009-03,33.408,54.0418,3579
Indonesia,No Measure Value,2009-03,-0.739,114.045,764
Ghana,No Measure Value,2009-03,7.258,-1.062,35
Gabon,No Measure Value,2009-03,-0.406,11.914,18
Egypt,No Measure Value,2009-03,26.16,28.742,624.16129
Congo (Brazzaville),No Measure Value,2009-03,0.509,16.08,15
Colombia,No Measure Value,2009-03,3.794,-73.606,648.27
Chad,No Measure Value,2009-03,15.981,18.781,14
Brazil,No Measure Value,2009-03,-11.694,-48.978,1943.180419
Argentina,No Measure Value,2009-03,-33.166,-64.31,607.503339
Angola,No Measure Value,2009-03,-12.836,17.808,1495.290323
Algeria,No Measure Value,2009-03,28.6045,2.64,1192
United States,No Measure Value,2009-04,40.0792,-98.8164,5278
United Kingdom,No Measure Value,2009-04,52.289,-1.259,1412.135944
Sudan,No Measure Value,2009-04,15.739,29.533,477.731167
Saudi Arabia,No Measure Value,2009-04,24.191,44.32,7805.5
Papua New Guinea,No Measure Value,2009-04,-5.636,142.798,35.5351
Oman,No Measure Value,2009-04,19.85,56.25,788.566667
Norway,No Measure Value,2009-04,61.3701,9.3031,1871
Nigeria,No Measure Value,2009-04,9.3417,7.678,1898
Mexico,No Measure Value,2009-04,22.925,-101.68,2642.364807
Kuwait,No Measure Value,2009-04,29.3169,47.4272,2017.5
Kazakhstan,No Measure Value,2009-04,48.866,69.772,1518.47
Iraq,No Measure Value,2009-04,33.545,43.278,2293
Iran,No Measure Value,2009-04,33.408,54.0418,3571
Indonesia,No Measure Value,2009-04,-0.739,114.045,820
Ghana,No Measure Value,2009-04,7.258,-1.062,35
Gabon,No Measure Value,2009-04,-0.406,11.914,18
Egypt,No Measure Value,2009-04,26.16,28.742,632.3
Congo (Brazzaville),No Measure Value,2009-04,0.509,16.08,15
Colombia,No Measure Value,2009-04,3.794,-73.606,650.938
Chad,No Measure Value,2009-04,15.981,18.781,14
Brazil,No Measure Value,2009-04,-11.694,-48.978,1940.703867
Argentina,No Measure Value,2009-04,-33.166,-64.31,604.529526
Angola,No Measure Value,2009-04,-12.836,17.808,1601.333333
Algeria,No Measure Value,2009-04,28.6045,2.64,1197
United States,No Measure Value,2009-05,40.0792,-98.8164,5377
United Kingdom,No Measure Value,2009-05,52.289,-1.259,1347.396281
Sudan,No Measure Value,2009-05,15.739,29.533,481.114355
Saudi Arabia,No Measure Value,2009-05,24.191,44.32,7983
Papua New Guinea,No Measure Value,2009-05,-5.636,142.798,35.281
Oman,No Measure Value,2009-05,19.85,56.25,808.322581
Norway,No Measure Value,2009-05,61.3701,9.3031,1806
Nigeria,No Measure Value,2009-05,9.3417,7.678,2263.354839
Mexico,No Measure Value,2009-05,22.925,-101.68,2609.103333
Kuwait,No Measure Value,2009-05,29.3169,47.4272,2010
Kazakhstan,No Measure Value,2009-05,48.866,69.772,1452.88
Iraq,No Measure Value,2009-05,33.545,43.278,2311
Iran,No Measure Value,2009-05,33.408,54.0418,3580
Indonesia,No Measure Value,2009-05,-0.739,114.045,754
Ghana,No Measure Value,2009-05,7.258,-1.062,35
Gabon,No Measure Value,2009-05,-0.406,11.914,18
Egypt,No Measure Value,2009-05,26.16,28.742,617.645161
Congo (Brazzaville),No Measure Value,2009-05,0.509,16.08,15
Colombia,No Measure Value,2009-05,3.794,-73.606,654.841
Chad,No Measure Value,2009-05,15.981,18.781,14
Brazil,No Measure Value,2009-05,-11.694,-48.978,1955.228774
Argentina,No Measure Value,2009-05,-33.166,-64.31,598.982366
Angola,No Measure Value,2009-05,-12.836,17.808,1623.322581
Algeria,No Measure Value,2009-05,28.6045,2.64,1219
United States,No Measure Value,2009-06,40.0792,-98.8164,5269
United Kingdom,No Measure Value,2009-06,52.289,-1.259,1327.283916
Sudan,No Measure Value,2009-06,15.739,29.533,484.521567
Saudi Arabia,No Measure Value,2009-06,24.191,44.32,8132
Papua New Guinea,No Measure Value,2009-06,-5.636,142.798,35.029
Oman,No Measure Value,2009-06,19.85,56.25,811.666667
Norway,No Measure Value,2009-06,61.3701,9.3031,1781
Nigeria,No Measure Value,2009-06,9.3417,7.678,2229.666667
Mexico,No Measure Value,2009-06,22.925,-101.68,2518.720764
Kuwait,No Measure Value,2009-06,29.3169,47.4272,2045
Kazakhstan,No Measure Value,2009-06,48.866,69.772,1544.71
Iraq,No Measure Value,2009-06,33.545,43.278,2408
Iran,No Measure Value,2009-06,33.408,54.0418,3550
Indonesia,No Measure Value,2009-06,-0.739,114.045,831
Ghana,No Measure Value,2009-06,7.258,-1.062,35
Gabon,No Measure Value,2009-06,-0.406,11.914,18
Egypt,No Measure Value,2009-06,26.16,28.742,602.533333
Congo (Brazzaville),No Measure Value,2009-06,0.509,16.08,15
Colombia,No Measure Value,2009-06,3.794,-73.606,662.507
Chad,No Measure Value,2009-06,15.981,18.781,14
Brazil,No Measure Value,2009-06,-11.694,-48.978,1917.5954
Argentina,No Measure Value,2009-06,-33.166,-64.31,381.743115
Angola,No Measure Value,2009-06,-12.836,17.808,1799.333333
Algeria,No Measure Value,2009-06,28.6045,2.64,1212
United States,No Measure Value,2009-07,40.0792,-98.8164,5398
United Kingdom,No Measure Value,2009-07,52.289,-1.259,1325.03095
Sudan,No Measure Value,2009-07,15.739,29.533,476
Saudi Arabia,No Measure Value,2009-07,24.191,44.32,8018
Papua New Guinea,No Measure Value,2009-07,-5.636,142.798,34.7791
Oman,No Measure Value,2009-07,19.85,56.25,826.612903
Norway,No Measure Value,2009-07,61.3701,9.3031,2073
Nigeria,No Measure Value,2009-07,9.3417,7.678,2176.483871
Mexico,No Measure Value,2009-07,22.925,-101.68,2561.233948
Kuwait,No Measure Value,2009-07,29.3169,47.4272,2045
Kazakhstan,No Measure Value,2009-07,48.866,69.772,1590.76
Iraq,No Measure Value,2009-07,33.545,43.278,2412
Iran,No Measure Value,2009-07,33.408,54.0418,3530
Indonesia,No Measure Value,2009-07,-0.739,114.045,777
Ghana,No Measure Value,2009-07,7.258,-1.062,35
Gabon,No Measure Value,2009-07,-0.406,11.914,18
Egypt,No Measure Value,2009-07,26.16,28.742,507.032258
Congo (Brazzaville),No Measure Value,2009-07,0.509,16.08,15
Colombia,No Measure Value,2009-07,3.794,-73.606,658.072
Chad,No Measure Value,2009-07,15.981,18.781,14
Brazil,No Measure Value,2009-07,-11.694,-48.978,1918.667419
Argentina,No Measure Value,2009-07,-33.166,-64.31,378.561279
Angola,No Measure Value,2009-07,-12.836,17.808,1781.548387
Algeria,No Measure Value,2009-07,28.6045,2.64,1207
United States,No Measure Value,2009-08,40.0792,-98.8164,5418
United Kingdom,No Measure Value,2009-08,52.289,-1.259,999.041606
Sudan,No Measure Value,2009-08,15.739,29.533,481
Saudi Arabia,No Measure Value,2009-08,24.191,44.32,7956.5
Papua New Guinea,No Measure Value,2009-08,-5.636,142.798,34.5313
Oman,No Measure Value,2009-08,19.85,56.25,843.483871
Norway,No Measure Value,2009-08,61.3701,9.3031,1883
Nigeria,No Measure Value,2009-08,9.3417,7.678,2164.967742
Mexico,No Measure Value,2009-08,22.925,-101.68,2542.449188
Kuwait,No Measure Value,2009-08,29.3169,47.4272,1997.5
Kazakhstan,No Measure Value,2009-08,48.866,69.772,1514.18
Iraq,No Measure Value,2009-08,33.545,43.278,2390
Iran,No Measure Value,2009-08,33.408,54.0418,3520
Indonesia,No Measure Value,2009-08,-0.739,114.045,808
Ghana,No Measure Value,2009-08,7.258,-1.062,35
Gabon,No Measure Value,2009-08,-0.406,11.914,187.354839
Egypt,No Measure Value,2009-08,26.16,28.742,611.258065
Congo (Brazzaville),No Measure Value,2009-08,0.509,16.08,285
Colombia,No Measure Value,2009-08,3.794,-73.606,670.137
Chad,No Measure Value,2009-08,15.981,18.781,122.064516
Brazil,No Measure Value,2009-08,-11.694,-48.978,1960.291161
Argentina,No Measure Value,2009-08,-33.166,-64.31,345.522983
Angola,No Measure Value,2009-08,-12.836,17.808,1734.806452
Algeria,No Measure Value,2009-08,28.6045,2.64,1235
United States,No Measure Value,2009-09,40.0792,-98.8164,5559
United Kingdom,No Measure Value,2009-09,52.289,-1.259,1091.65527
Sudan,No Measure Value,2009-09,15.739,29.533,486
Saudi Arabia,No Measure Value,2009-09,24.191,44.32,7956
Papua New Guinea,No Measure Value,2009-09,-5.636,142.798,34.2856
Oman,No Measure Value,2009-09,19.85,56.25,839.666667
Norway,No Measure Value,2009-09,61.3701,9.3031,1871
Nigeria,No Measure Value,2009-09,9.3417,7.678,2336.5
Mexico,No Measure Value,2009-09,22.925,-101.68,2599.242889
Kuwait,No Measure Value,2009-09,29.3169,47.4272,2020
Kazakhstan,No Measure Value,2009-09,48.866,69.772,1523.41
Iraq,No Measure Value,2009-09,33.545,43.278,2374
Iran,No Measure Value,2009-09,33.408,54.0418,3535
Indonesia,No Measure Value,2009-09,-0.739,114.045,821
Ghana,No Measure Value,2009-09,7.258,-1.062,35
Gabon,No Measure Value,2009-09,-0.406,11.914,176.666667
Egypt,No Measure Value,2009-09,26.16,28.742,612.766667
Congo (Brazzaville),No Measure Value,2009-09,0.509,16.08,263.333333
Colombia,No Measure Value,2009-09,3.794,-73.606,682.361
Chad,No Measure Value,2009-09,15.981,18.781,109
Brazil,No Measure Value,2009-09,-11.694,-48.978,1992.807567
Argentina,No Measure Value,2009-09,-33.166,-64.31,381.991238
Angola,No Measure Value,2009-09,-12.836,17.808,1795.666667
Algeria,No Measure Value,2009-09,28.6045,2.64,1200
United States,No Measure Value,2009-10,40.0792,-98.8164,5524
United Kingdom,No Measure Value,2009-10,52.289,-1.259,1251.545011
Sudan,No Measure Value,2009-10,15.739,29.533,486
Saudi Arabia,No Measure Value,2009-10,24.191,44.32,8034
Papua New Guinea,No Measure Value,2009-10,-5.636,142.798,34.0419
Oman,No Measure Value,2009-10,19.85,56.25,824.225806
Norway,No Measure Value,2009-10,61.3701,9.3031,2009
Nigeria,No Measure Value,2009-10,9.3417,7.678,2181.903226
Mexico,No Measure Value,2009-10,22.925,-101.68,2601.570892
Kuwait,No Measure Value,2009-10,29.3169,47.4272,2015
Kazakhstan,No Measure Value,2009-10,48.866,69.772,1597.24
Iraq,No Measure Value,2009-10,33.545,43.278,2384
Iran,No Measure Value,2009-10,33.408,54.0418,3543
Indonesia,No Measure Value,2009-10,-0.739,114.045,824
Ghana,No Measure Value,2009-10,7.258,-1.062,35
Gabon,No Measure Value,2009-10,-0.406,11.914,18
Egypt,No Measure Value,2009-10,26.16,28.742,597.741935
Congo (Brazzaville),No Measure Value,2009-10,0.509,16.08,15
Colombia,No Measure Value,2009-10,3.794,-73.606,709.419
Chad,No Measure Value,2009-10,15.981,18.781,14
Brazil,No Measure Value,2009-10,-11.694,-48.978,1990.498194
Argentina,No Measure Value,2009-10,-33.166,-64.31,385.905369
Angola,No Measure Value,2009-10,-12.836,17.808,1703.612903
Algeria,No Measure Value,2009-10,28.6045,2.64,1227
United States,No Measure Value,2009-11,40.0792,-98.8164,5395
United Kingdom,No Measure Value,2009-11,52.289,-1.259,1350.251628
Sudan,No Measure Value,2009-11,15.739,29.533,481
Saudi Arabia,No Measure Value,2009-11,24.191,44.32,7969
Papua New Guinea,No Measure Value,2009-11,-5.636,142.798,33.8002
Oman,No Measure Value,2009-11,19.85,56.25,836.733333
Norway,No Measure Value,2009-11,61.3701,9.3031,2054
Nigeria,No Measure Value,2009-11,9.3417,7.678,2179
Mexico,No Measure Value,2009-11,22.925,-101.68,2553.177155
Kuwait,No Measure Value,2009-11,29.3169,47.4272,2035
Kazakhstan,No Measure Value,2009-11,48.866,69.772,1634.39
Iraq,No Measure Value,2009-11,33.545,43.278,2377
Iran,No Measure Value,2009-11,33.408,54.0418,3550
Indonesia,No Measure Value,2009-11,-0.739,114.045,824
Ghana,No Measure Value,2009-11,7.258,-1.062,35
Gabon,No Measure Value,2009-11,-0.406,11.914,18
Egypt,No Measure Value,2009-11,26.16,28.742,587.166667
Congo (Brazzaville),No Measure Value,2009-11,0.509,16.08,15
Colombia,No Measure Value,2009-11,3.794,-73.606,726.969
Chad,No Measure Value,2009-11,15.981,18.781,14
Brazil,No Measure Value,2009-11,-11.694,-48.978,1986.359267
Argentina,No Measure Value,2009-11,-33.166,-64.31,378.012164
Angola,No Measure Value,2009-11,-12.836,17.808,40
Algeria,No Measure Value,2009-11,28.6045,2.64,1222
United States,No Measure Value,2009-12,40.0792,-98.8164,5452
United Kingdom,No Measure Value,2009-12,52.289,-1.259,1334.067083
Sudan,No Measure Value,2009-12,15.739,29.533,481
Saudi Arabia,No Measure Value,2009-12,24.191,44.32,7695
Papua New Guinea,No Measure Value,2009-12,-5.636,142.798,33.5605
Oman,No Measure Value,2009-12,19.85,56.25,848.709677
Norway,No Measure Value,2009-12,61.3701,9.3031,2000
Nigeria,No Measure Value,2009-12,9.3417,7.678,2121
Mexico,No Measure Value,2009-12,22.925,-101.68,2592.647247
Kuwait,No Measure Value,2009-12,29.3169,47.4272,2025
Kazakhstan,No Measure Value,2009-12,48.866,69.772,1603.44
Iraq,No Measure Value,2009-12,33.545,43.278,2378
Iran,No Measure Value,2009-12,33.408,54.0418,3560
Indonesia,No Measure Value,2009-12,-0.739,114.045,836
Ghana,No Measure Value,2009-12,7.258,-1.062,35
Gabon,No Measure Value,2009-12,-0.406,11.914,18
Egypt,No Measure Value,2009-12,26.16,28.742,584.225806
Congo (Brazzaville),No Measure Value,2009-12,0.509,16.08,15
Colombia,No Measure Value,2009-12,3.794,-73.606,736.846
Chad,No Measure Value,2009-12,15.981,18.781,14
Brazil,No Measure Value,2009-12,-11.694,-48.978,1998.976161
Argentina,No Measure Value,2009-12,-33.166,-64.31,378.271646
Angola,No Measure Value,2009-12,-12.836,17.808,44
Algeria,No Measure Value,2009-12,28.6045,2.64,1203
United States,No Measure Value,2010-01,40.0792,-98.8164,5404
United Kingdom,No Measure Value,2010-01,52.289,-1.259,1334.936372
Sudan,No Measure Value,2010-01,15.739,29.533,475
Saudi Arabia,No Measure Value,2010-01,24.191,44.32,7938
Papua New Guinea,No Measure Value,2010-01,-5.636,142.798,33.2896
Oman,No Measure Value,2010-01,19.85,56.25,854.193548
Norway,No Measure Value,2010-01,61.3701,9.3031,1989
Nigeria,No Measure Value,2010-01,9.3417,7.678,2275.741935
Mexico,No Measure Value,2010-01,22.925,-101.68,2615.222961
Kuwait,No Measure Value,2010-01,29.3169,47.4272,2050
Kazakhstan,No Measure Value,2010-01,48.866,69.772,1562.51
Iraq,No Measure Value,2010-01,33.545,43.278,2391
Iran,No Measure Value,2010-01,33.408,54.0418,3580
Indonesia,No Measure Value,2010-01,-0.739,114.045,834
Ghana,No Measure Value,2010-01,7.258,-1.062,35
Gabon,No Measure Value,2010-01,-0.406,11.914,156.387097
Egypt,No Measure Value,2010-01,26.16,28.742,594.129032
Congo (Brazzaville),No Measure Value,2010-01,0.509,16.08,222.741935
Colombia,No Measure Value,2010-01,3.794,-73.606,743.884
Chad,No Measure Value,2010-01,15.981,18.781,136.580645
Brazil,No Measure Value,2010-01,-11.694,-48.978,1996.717226
Argentina,No Measure Value,2010-01,-33.166,-64.31,586.27443
Angola,No Measure Value,2010-01,-12.836,17.808,1904.967742
Algeria,No Measure Value,2010-01,28.6045,2.64,1237
United States,No Measure Value,2010-02,40.0792,-98.8164,5553
United Kingdom,No Measure Value,2010-02,52.289,-1.259,1311.067724
Sudan,No Measure Value,2010-02,15.739,29.533,480
Saudi Arabia,No Measure Value,2010-02,24.191,44.32,7856
Papua New Guinea,No Measure Value,2010-02,-5.636,142.798,33.0431
Oman,No Measure Value,2010-02,19.85,56.25,859.892857
Norway,No Measure Value,2010-02,61.3701,9.3031,1958
Nigeria,No Measure Value,2010-02,9.3417,7.678,2304.178571
Mexico,No Measure Value,2010-02,22.925,-101.68,2611.86911
Kuwait,No Measure Value,2010-02,29.3169,47.4272,2060
Kazakhstan,No Measure Value,2010-02,48.866,69.772,1635.97
Iraq,No Measure Value,2010-02,33.545,43.278,2449
Iran,No Measure Value,2010-02,33.408,54.0418,3590
Indonesia,No Measure Value,2010-02,-0.739,114.045,843
Ghana,No Measure Value,2010-02,7.258,-1.062,35
Gabon,No Measure Value,2010-02,-0.406,11.914,207.821429
Egypt,No Measure Value,2010-02,26.16,28.742,594.642857
Congo (Brazzaville),No Measure Value,2010-02,0.509,16.08,277.857143
Colombia,No Measure Value,2010-02,3.794,-73.606,761.287
Chad,No Measure Value,2010-02,15.981,18.781,115.785714
Brazil,No Measure Value,2010-02,-11.694,-48.978,2016.590429
Argentina,No Measure Value,2010-02,-33.166,-64.31,584.830623
Angola,No Measure Value,2010-02,-12.836,17.808,1827.571429
Algeria,No Measure Value,2010-02,28.6045,2.64,1219
United States,No Measure Value,2010-03,40.0792,-98.8164,5515
United Kingdom,No Measure Value,2010-03,52.289,-1.259,1405.530212
Sudan,No Measure Value,2010-03,15.739,29.533,472
Saudi Arabia,No Measure Value,2010-03,24.191,44.32,7926
Papua New Guinea,No Measure Value,2010-03,-5.636,142.798,32.7949
Oman,No Measure Value,2010-03,19.85,56.25,866.064516
Norway,No Measure Value,2010-03,61.3701,9.3031,1910
Nigeria,No Measure Value,2010-03,9.3417,7.678,2233.580645
Mexico,No Measure Value,2010-03,22.925,-101.68,2596.523376
Kuwait,No Measure Value,2010-03,29.3169,47.4272,2070
Kazakhstan,No Measure Value,2010-03,48.866,69.772,1607.39
Iraq,No Measure Value,2010-03,33.545,43.278,2275
Iran,No Measure Value,2010-03,33.408,54.0418,3570
Indonesia,No Measure Value,2010-03,-0.739,114.045,843
Ghana,No Measure Value,2010-03,7.258,-1.062,35
Gabon,No Measure Value,2010-03,-0.406,11.914,189.129032
Egypt,No Measure Value,2010-03,26.16,28.742,580.774194
Congo (Brazzaville),No Measure Value,2010-03,0.509,16.08,285
Colombia,No Measure Value,2010-03,3.794,-73.606,768.118
Chad,No Measure Value,2010-03,15.981,18.781,136.580645
Brazil,No Measure Value,2010-03,-11.694,-48.978,2036.765065
Argentina,No Measure Value,2010-03,-33.166,-64.31,587.015108
Angola,No Measure Value,2010-03,-12.836,17.808,1818.064516
Algeria,No Measure Value,2010-03,28.6045,2.64,1184
United States,No Measure Value,2010-04,40.0792,-98.8164,5392
United Kingdom,No Measure Value,2010-04,52.289,-1.259,1380.214269
Sudan,No Measure Value,2010-04,15.739,29.533,480
Saudi Arabia,No Measure Value,2010-04,24.191,44.32,7910
Papua New Guinea,No Measure Value,2010-04,-5.636,142.798,32.5439
Oman,No Measure Value,2010-04,19.85,56.25,857.866667
Norway,No Measure Value,2010-04,61.3701,9.3031,1887
Nigeria,No Measure Value,2010-04,9.3417,7.678,2218.833333
Mexico,No Measure Value,2010-04,22.925,-101.68,2594.69104
Kuwait,No Measure Value,2010-04,29.3169,47.4272,2040
Kazakhstan,No Measure Value,2010-04,48.866,69.772,1573.94
Iraq,No Measure Value,2010-04,33.545,43.278,2290
Iran,No Measure Value,2010-04,33.408,54.0418,3510
Indonesia,No Measure Value,2010-04,-0.739,114.045,859
Ghana,No Measure Value,2010-04,7.258,-1.062,35
Gabon,No Measure Value,2010-04,-0.406,11.914,151.666667
Egypt,No Measure Value,2010-04,26.16,28.742,588.233333
Congo (Brazzaville),No Measure Value,2010-04,0.509,16.08,294
Colombia,No Measure Value,2010-04,3.794,-73.606,779.344
Chad,No Measure Value,2010-04,15.981,18.781,140.666667
Brazil,No Measure Value,2010-04,-11.694,-48.978,2077.189067
Argentina,No Measure Value,2010-04,-33.166,-64.31,585.741012
Angola,No Measure Value,2010-04,-12.836,17.808,1810.666667
Algeria,No Measure Value,2010-04,28.6045,2.64,1194
United States,No Measure Value,2010-05,40.0792,-98.8164,5401
United Kingdom,No Measure Value,2010-05,52.289,-1.259,1216.687179
Sudan,No Measure Value,2010-05,15.739,29.533,482
Saudi Arabia,No Measure Value,2010-05,24.191,44.32,7816
Papua New Guinea,No Measure Value,2010-05,-5.636,142.798,32.2994
Oman,No Measure Value,2010-05,19.85,56.25,881.516129
Norway,No Measure Value,2010-05,61.3701,9.3031,1854
Nigeria,No Measure Value,2010-05,9.3417,7.678,2274.322581
Mexico,No Measure Value,2010-05,22.925,-101.68,2594.816589
Kuwait,No Measure Value,2010-05,29.3169,47.4272,2070
Kazakhstan,No Measure Value,2010-05,48.866,69.772,1538.51
Iraq,No Measure Value,2010-05,33.545,43.278,2296
Iran,No Measure Value,2010-05,33.408,54.0418,3520
Indonesia,No Measure Value,2010-05,-0.739,114.045,848
Ghana,No Measure Value,2010-05,7.258,-1.062,35
Gabon,No Measure Value,2010-05,-0.406,11.914,130.903226
Egypt,No Measure Value,2010-05,26.16,28.742,614.322581
Congo (Brazzaville),No Measure Value,2010-05,0.509,16.08,282.096774
Colombia,No Measure Value,2010-05,3.794,-73.606,778.796
Chad,No Measure Value,2010-05,15.981,18.781,136.580645
Brazil,No Measure Value,2010-05,-11.694,-48.978,2075.202968
Argentina,No Measure Value,2010-05,-33.166,-64.31,583.264791
Angola,No Measure Value,2010-05,-12.836,17.808,1759.774194
Algeria,No Measure Value,2010-05,28.6045,2.64,1189
United States,No Measure Value,2010-06,40.0792,-98.8164,5380
United Kingdom,No Measure Value,2010-06,52.289,-1.259,1076.137532
Sudan,No Measure Value,2010-06,15.739,29.533,480
Saudi Arabia,No Measure Value,2010-06,24.191,44.32,7823
Papua New Guinea,No Measure Value,2010-06,-5.636,142.798,32.0557
Oman,No Measure Value,2010-06,19.85,56.25,848.033333
Norway,No Measure Value,2010-06,61.3701,9.3031,1527
Nigeria,No Measure Value,2010-06,9.3417,7.678,2321.5
Mexico,No Measure Value,2010-06,22.925,-101.68,2546.950592
Kuwait,No Measure Value,2010-06,29.3169,47.4272,2070
Kazakhstan,No Measure Value,2010-06,48.866,69.772,1572.33
Iraq,No Measure Value,2010-06,33.545,43.278,2319
Iran,No Measure Value,2010-06,33.408,54.0418,3515
Indonesia,No Measure Value,2010-06,-0.739,114.045,855
Ghana,No Measure Value,2010-06,7.258,-1.062,35
Gabon,No Measure Value,2010-06,-0.406,11.914,170.666667
Egypt,No Measure Value,2010-06,26.16,28.742,623.333333
Congo (Brazzaville),No Measure Value,2010-06,0.509,16.08,293
Colombia,No Measure Value,2010-06,3.794,-73.606,785.426
Chad,No Measure Value,2010-06,15.981,18.781,140.666667
Brazil,No Measure Value,2010-06,-11.694,-48.978,2051.414333
Argentina,No Measure Value,2010-06,-33.166,-64.31,373.291095
Angola,No Measure Value,2010-06,-12.836,17.808,1597
Algeria,No Measure Value,2010-06,28.6045,2.64,1193
United States,No Measure Value,2010-07,40.0792,-98.8164,5298
United Kingdom,No Measure Value,2010-07,52.289,-1.259,1054.488517
Sudan,No Measure Value,2010-07,15.739,29.533,510
Saudi Arabia,No Measure Value,2010-07,24.191,44.32,7914.5
Papua New Guinea,No Measure Value,2010-07,-5.636,142.798,31.8134
Oman,No Measure Value,2010-07,19.85,56.25,875.580645
Norway,No Measure Value,2010-07,61.3701,9.3031,1811
Nigeria,No Measure Value,2010-07,9.3417,7.678,2313.387097
Mexico,No Measure Value,2010-07,22.925,-101.68,2574.179047
Kuwait,No Measure Value,2010-07,29.3169,47.4272,2037.5
Kazakhstan,No Measure Value,2010-07,48.866,69.772,1615.62
Iraq,No Measure Value,2010-07,33.545,43.278,2301
Iran,No Measure Value,2010-07,33.408,54.0418,3535
Indonesia,No Measure Value,2010-07,-0.739,114.045,842.95
Ghana,No Measure Value,2010-07,7.258,-1.062,35
Gabon,No Measure Value,2010-07,-0.406,11.914,197.677419
Egypt,No Measure Value,2010-07,26.16,28.742,616.322581
Congo (Brazzaville),No Measure Value,2010-07,0.509,16.08,285
Colombia,No Measure Value,2010-07,3.794,-73.606,784.94
Chad,No Measure Value,2010-07,15.981,18.781,136.580645
Brazil,No Measure Value,2010-07,-11.694,-48.978,2055.686452
Argentina,No Measure Value,2010-07,-33.166,-64.31,370.726928
Angola,No Measure Value,2010-07,-12.836,17.808,1650.354839
Algeria,No Measure Value,2010-07,28.6045,2.64,1191
United States,No Measure Value,2010-08,40.0792,-98.8164,5447
United Kingdom,No Measure Value,2010-08,52.289,-1.259,1051.542832
Sudan,No Measure Value,2010-08,15.739,29.533,515
Saudi Arabia,No Measure Value,2010-08,24.191,44.32,7900.5
Papua New Guinea,No Measure Value,2010-08,-5.636,142.798,31.5739
Oman,No Measure Value,2010-08,19.85,56.25,858.709677
Norway,No Measure Value,2010-08,61.3701,9.3031,1615
Nigeria,No Measure Value,2010-08,9.3417,7.678,2448.16129
Mexico,No Measure Value,2010-08,22.925,-101.68,2560.554291
Kuwait,No Measure Value,2010-08,29.3169,47.4272,2042.5
Kazakhstan,No Measure Value,2010-08,48.866,69.772,1626.3
Iraq,No Measure Value,2010-08,33.545,43.278,2333
Iran,No Measure Value,2010-08,33.408,54.0418,3545
