Month of Date,Target Country,Point,flows_bcm
November 2023,Finland,Inkoo LNG (FI),0.125458974
December 2023,Finland,Inkoo LNG (FI),0.126960702
January 2024,Finland,Inkoo LNG (FI),0.189673501
February 2024,Finland,Inkoo LNG (FI),0.148713456
March 2024,Finland,Inkoo LNG (FI),0.144781604
April 2024,Finland,Inkoo LNG (FI),0.149851531
May 2024,Finland,Inkoo LNG (FI),0.240300153
June 2024,Finland,Inkoo LNG (FI),0.248200267
July 2024,Finland,Inkoo LNG (FI),0.093978917
August 2024,Finland,Inkoo LNG (FI),0.233892619
September 2024,Finland,Inkoo LNG (FI),0.124899429
October 2024,Finland,Inkoo LNG (FI),0.115936913
November 2024,Finland,Inkoo LNG (FI),0.089348729
December 2024,Finland,Inkoo LNG (FI),0.055543899
January 2025,Finland,Inkoo LNG (FI),0.024178342
February 2025,Finland,Inkoo LNG (FI),0.044093383
March 2025,Finland,Inkoo LNG (FI),0.030711055
April 2025,Finland,Inkoo LNG (FI),0.058158448
May 2025,Finland,Inkoo LNG (FI),0.163190182
June 2025,Finland,Inkoo LNG (FI),0.084015754
July 2025,Finland,Inkoo LNG (FI),0.213935436
August 2025,Finland,Inkoo LNG (FI),0.003996473
September 2025,Finland,Inkoo LNG (FI),1.253e-06
October 2025,Finland,Inkoo LNG (FI),0.130171834
November 2025,Finland,Inkoo LNG (FI),0.076210667
December 2025,Finland,Inkoo LNG (FI),0.061837621
January 2026,Finland,Inkoo LNG (FI),0.007732586
September 2022,Finland,Hamina LNG,2.062e-06
October 2022,Finland,Hamina LNG,0.005187917
November 2022,Finland,Hamina LNG,0.013677504
December 2022,Finland,Hamina LNG,0.013783615
January 2023,Finland,Hamina LNG,0.011264002
February 2023,Finland,Hamina LNG,0.005505069
March 2023,Finland,Hamina LNG,0.00853712
April 2023,Finland,Hamina LNG,0.005660214
May 2023,Finland,Hamina LNG,0.001105178
June 2023,Finland,Hamina LNG,0.004533296
July 2023,Finland,Hamina LNG,0.010359829
August 2023,Finland,Hamina LNG,0.003756077
September 2023,Finland,Hamina LNG,0.002308519
October 2023,Finland,Hamina LNG,0.007820957
November 2023,Finland,Hamina LNG,0.007140817
December 2023,Finland,Hamina LNG,0.009052077
January 2024,Finland,Hamina LNG,0.005284073
February 2024,Finland,Hamina LNG,0.00213495
March 2024,Finland,Hamina LNG,0.003823059
April 2024,Finland,Hamina LNG,0.001852263
May 2024,Finland,Hamina LNG,0.001573335
June 2024,Finland,Hamina LNG,0.001949512
July 2024,Finland,Hamina LNG,0.002260652
August 2024,Finland,Hamina LNG,0.001799762
September 2024,Finland,Hamina LNG,0.00188528
October 2024,Finland,Hamina LNG,0.001560237
November 2024,Finland,Hamina LNG,0.0018036
December 2024,Finland,Hamina LNG,0.002595823
January 2025,Finland,Hamina LNG,0.001468162
February 2025,Finland,Hamina LNG,0.001908465
March 2025,Finland,Hamina LNG,0.002727306
April 2025,Finland,Hamina LNG,0.002408113
May 2025,Finland,Hamina LNG,0.001381903
June 2025,Finland,Hamina LNG,0.002161872
July 2025,Finland,Hamina LNG,0.002049328
August 2025,Finland,Hamina LNG,0.001906722
September 2025,Finland,Hamina LNG,0.001599749
October 2025,Finland,Hamina LNG,0.00175161
November 2025,Finland,Hamina LNG,0.00165353
December 2025,Finland,Hamina LNG,0.001642551
January 2026,Finland,Hamina LNG,0.000670629
January 2021,France,Montoir de Bretagne,0.248666598
February 2021,France,Montoir de Bretagne,0.415695999
March 2021,France,Montoir de Bretagne,0.854332945
April 2021,France,Montoir de Bretagne,0.70672102
May 2021,France,Montoir de Bretagne,0.082212738
June 2021,France,Montoir de Bretagne,0.287509571
July 2021,France,Montoir de Bretagne,0.483717292
August 2021,France,Montoir de Bretagne,0.417544918
September 2021,France,Montoir de Bretagne,0.429186522
October 2021,France,Montoir de Bretagne,0.294506306
November 2021,France,Montoir de Bretagne,0.521957881
December 2021,France,Montoir de Bretagne,0.648639275
January 2022,France,Montoir de Bretagne,0.994913384
February 2022,France,Montoir de Bretagne,0.948901631
March 2022,France,Montoir de Bretagne,0.940568459
April 2022,France,Montoir de Bretagne,0.905510627
May 2022,France,Montoir de Bretagne,0.833050586
June 2022,France,Montoir de Bretagne,0.35099072
July 2022,France,Montoir de Bretagne,0.730699712
August 2022,France,Montoir de Bretagne,1.053016843
September 2022,France,Montoir de Bretagne,0.750187148
October 2022,France,Montoir de Bretagne,0.535973619
November 2022,France,Montoir de Bretagne,0.931807645
December 2022,France,Montoir de Bretagne,1.124509898
January 2023,France,Montoir de Bretagne,0.945040111
February 2023,France,Montoir de Bretagne,0.660000352
March 2023,France,Montoir de Bretagne,0.203666261
April 2023,France,Montoir de Bretagne,0.528821986
