Day of Date,Header_Exporter,Gas Origin,Header_Importer,Target Country,Interconnection Point,flows_bcm
"March 18, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.068263619
"March 19, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.068111238
"March 20, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.068049905
"March 21, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.068076571
"March 22, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.068167429
"March 23, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.068103905
"March 24, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067500667
"March 25, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.068654571
"March 26, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.069048952
"March 27, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.069182952
"March 28, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.068898571
"March 29, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.068787905
"March 30, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.068795143
"March 31, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062771714
"April 1, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.063136571
"April 2, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062797048
"April 3, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062721714
"April 4, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062903619
"April 5, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062756762
"April 6, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062769619
"April 7, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062688571
"April 8, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062766095
"April 9, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.06318819
"April 10, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062844952
"April 11, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062665905
"April 12, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062728667
"April 13, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062735333
"April 14, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062734095
"April 15, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062507429
"April 16, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062782857
"April 17, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062508286
"April 18, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.063056952
"April 19, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062550571
"April 20, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.061805238
"April 21, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062617048
"April 22, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.06310981
"April 23, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.063240667
"April 24, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.063513143
"April 25, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.063044095
"April 26, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062970952
"April 27, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062825333
"April 28, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062818
"April 29, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062593429
"April 30, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062575333
"May 1, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.061626571
"May 2, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.060624762
"May 3, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.060689333
"May 4, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.060648857
"May 5, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.060579429
"May 6, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.060598667
"May 7, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.060611429
"May 8, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.059736476
"May 9, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.060763429
"May 10, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.060519333
"May 11, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.061571905
"May 12, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062552571
"May 13, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062806762
"May 14, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.063280571
"May 15, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.063437619
"May 16, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.06333581
"May 17, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.060750286
"May 18, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.060450286
"May 19, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.059851714
"May 20, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.059391429
"May 21, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.05944419
"May 22, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.060311714
"May 23, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.060752476
