Day of Date,Header_Exporter,Gas Origin,Header_Importer,Target Country,Interconnection Point,flows_bcm
"May 21, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044816898
"May 22, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.042746627
"May 23, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.041334632
"May 24, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.043139393
"May 25, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.040500193
"May 26, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.040972057
"May 27, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.034601256
"May 28, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.039715693
"May 29, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045211101
"May 30, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045042435
"May 31, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045000429
"June 1, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045264133
"June 2, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044784239
"June 3, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044966662
"June 4, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044834908
"June 5, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045318071
"June 6, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044801942
"June 7, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044881784
"June 8, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044569014
"June 9, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044800134
"June 10, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044510155
"June 11, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045185479
"June 12, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044440725
"June 13, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044875252
"June 14, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044813597
"June 15, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045015544
"June 16, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045199173
"June 17, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044276404
"June 18, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044934989
"June 19, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044368092
"June 20, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.043351461
"June 21, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.04405853
"June 22, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.04481444
"June 23, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044735896
"June 24, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044696048
"June 25, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044772563
"June 26, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.043769773
"June 27, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044596065
"June 28, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044810522
"June 29, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044432502
"June 30, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044676091
"July 1, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044702437
"July 2, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044848238
"July 3, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044640327
"July 4, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044751959
"July 5, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045349957
"July 6, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044537907
"July 7, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045241624
"July 8, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044687167
"July 9, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045820084
"July 10, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045634926
"July 11, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044684357
"July 12, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045385556
"July 13, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.04465234
"July 14, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044686742
"July 15, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045748623
"July 16, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044643457
"July 17, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044683341
"July 18, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044695866
"July 19, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044688815
"July 20, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.04467756
"July 21, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044900037
"July 22, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.04465763
"July 23, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044704413
"July 24, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.04459649
"July 25, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.043875261
"July 26, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044549433
"July 27, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044282027
"July 28, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044905318
"July 29, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044518782
"July 30, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.042812959
"July 31, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.042930396
"August 1, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.04310819
"August 2, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.043887314
"August 3, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044249124
"August 4, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045416193
"August 5, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044736719
"August 6, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044937325
"August 7, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044764137
"August 8, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044415741
"August 9, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.043161332
"August 10, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045424453
"August 11, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044501156
"August 12, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044324273
"August 13, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044576048
"August 14, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044527228
"August 15, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.043968828
"August 16, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044401207
"August 17, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044672098
"August 18, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044687487
"August 19, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044692057
"August 20, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044693587
"August 21, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044678427
"August 22, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044679013
"August 23, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044894309
"August 24, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044860094
"August 25, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044908958
"August 26, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044883099
"August 27, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044790142
"August 28, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.04486354
"August 29, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044960566
"August 30, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044434005
"August 31, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044160027
"September 1, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.043662
"September 2, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044116945
"September 3, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.041577448
"September 4, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.043948361
"September 5, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.04398931
"September 6, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.043490943
"September 7, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.043903735
"September 8, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045071885
"September 9, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044139218
"September 10, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044152022
"September 11, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045040372
"September 12, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044194262
"September 13, 2021",Exporter,Norway,Importer,Belgium,ZPT,0
"September 14, 2021",Exporter,Norway,Importer,Belgium,ZPT,0
"September 15, 2021",Exporter,Norway,Importer,Belgium,ZPT,0
"September 16, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.000580155
"September 17, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044056357
"September 18, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044049378
"September 19, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.043809894
"September 20, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.04317904
"September 21, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044474671
"September 22, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044483879
"September 23, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045679634
"September 24, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044826429
"September 25, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044618326
"September 26, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044673591
"September 27, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044614062
"September 28, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045458328
"September 29, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044407791
"September 30, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044612356
"October 1, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044148155
"October 2, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.04417508
"October 3, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044231998
"October 4, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044638051
"October 5, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044646631
"October 6, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044203608
"October 7, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.043914892
"October 8, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044202396
"October 9, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044874843
"October 10, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.0441638
"October 11, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.0441934
"October 12, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045336298
"October 13, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045344278
"October 14, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045296413
"October 15, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.04414367
"October 16, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045335208
"October 17, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045330536
"October 18, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045422075
"October 19, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.04391098
"October 20, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044767325
"October 21, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045753845
"October 22, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044724505
"October 23, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044927019
"October 24, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045174884
"October 25, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045344598
"October 26, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044920467
"October 27, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045414017
"October 28, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.04438486
"October 29, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044470569
"October 30, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.046192097
"October 31, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044312777
"November 1, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044710737
"November 2, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044875611
"November 3, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044466965
"November 4, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044450522
"November 5, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044341288
"November 6, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045314416
"November 7, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045136513
"November 8, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044800188
"November 9, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044848902
"November 10, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044727197
"November 11, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044805394
"November 12, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044818061
"November 13, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044768442
"November 14, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044856263
"November 15, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044890239
"November 16, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044522739
"November 17, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.04455798
"November 18, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044802603
"November 19, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044804722
"November 20, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045035785
"November 21, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044795387
"November 22, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.043326525
"November 23, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044001265
"November 24, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.041735025
"November 25, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.043510024
"November 26, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.042159346
"November 27, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.042811243
"November 28, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.042094306
"November 29, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.04324836
"November 30, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.04486921
"December 1, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044318639
"December 2, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045361817
"December 3, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045151223
"December 4, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.04493793
"December 5, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044872367
"December 6, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044570839
"December 7, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044703931
"December 8, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.037827255
"December 9, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044808629
"December 10, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044991537
"December 11, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045477013
"December 12, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044946184
"December 13, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045099535
"December 14, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044990785
"December 15, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045239522
"December 16, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045082559
"December 17, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.043597935
"December 18, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044895716
"December 19, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044585256
"December 20, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044412928
"December 21, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.043639765
"December 22, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.043403898
"December 23, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045219892
"December 24, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044475834
"December 25, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.043163004
"December 26, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045166095
"December 27, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045187828
"December 28, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045200255
"December 29, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045235914
"December 30, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.045140336
"December 31, 2021",Exporter,Norway,Importer,Belgium,ZPT,0.044042065
"January 1, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.042629807
"January 2, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045331568
"January 3, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045213458
"January 4, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045246954
"January 5, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.04303053
"January 6, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.044845561
"January 7, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045224356
"January 8, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.04521986
"January 9, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045062571
"January 10, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045421602
"January 11, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045236414
"January 12, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045058155
"January 13, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.04519037
"January 14, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.044027215
"January 15, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045261269
"January 16, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.044141065
"January 17, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.044496058
"January 18, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.043201596
"January 19, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.044877809
"January 20, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045215146
"January 21, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045327247
"January 22, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045341048
"January 23, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045298679
"January 24, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045356799
"January 25, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.044772743
"January 26, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045305691
"January 27, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045030236
"January 28, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045217083
"January 29, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.043069497
"January 30, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.04419656
"January 31, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045465321
"February 1, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045367185
"February 2, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.04541637
"February 3, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045435745
"February 4, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045417135
"February 5, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045455043
"February 6, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.04543734
"February 7, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045530316
"February 8, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045541182
"February 9, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045530777
"February 10, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045573862
"February 11, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045429878
"February 12, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045461821
"February 13, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045490638
"February 14, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045509331
"February 15, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045547883
"February 16, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045556627
"February 17, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.04550677
"February 18, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045511047
"February 19, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.044792109
"February 20, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045353984
"February 21, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045572587
"February 22, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045531052
"February 23, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045519566
"February 24, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.04552089
"February 25, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045569275
"February 26, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045546562
"February 27, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045519224
"February 28, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045519418
"March 1, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045540068
"March 2, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045554142
"March 3, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045535826
"March 4, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045536052
"March 5, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045441842
"March 6, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045531386
"March 7, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045575114
"March 8, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045230124
"March 9, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045403726
"March 10, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045651548
"March 11, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.044766402
"March 12, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.044688373
"March 13, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045210461
"March 14, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.044559198
"March 15, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045201037
"March 16, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045097802
"March 17, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.04395652
"March 18, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045504103
"March 19, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.042735977
"March 20, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.044409297
"March 21, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045102751
"March 22, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045292308
"March 23, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.044426038
"March 24, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045389754
"March 25, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045520069
"March 26, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.043616203
"March 27, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.043326529
"March 28, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.04553177
"March 29, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.044251173
"March 30, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045525364
"March 31, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.04443894
"April 1, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.04377387
"April 2, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.042659905
"April 3, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.041740194
"April 4, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045191514
"April 5, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045210416
"April 6, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045330031
"April 7, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045383398
"April 8, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045298474
"April 9, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045347374
"April 10, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045345966
"April 11, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045341951
"April 12, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045308988
"April 13, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045353104
"April 14, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.04529914
"April 15, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045401257
"April 16, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045288888
"April 17, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045386796
"April 18, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045038812
"April 19, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045560511
"April 20, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045301938
"April 21, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045317875
"April 22, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.04504822
"April 23, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.044290492
"April 24, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045385935
"April 25, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.044908066
"April 26, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.044877039
"April 27, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045771666
"April 28, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.044980496
"April 29, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045021904
"April 30, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045019492
"May 1, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045005671
"May 2, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045002997
"May 3, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045043106
"May 4, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045082182
"May 5, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.044975566
"May 6, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045220881
"May 7, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045183915
"May 8, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045223024
"May 9, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045334063
"May 10, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045155283
"May 11, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045224738
"May 12, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045196031
"May 13, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045242203
"May 14, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045236036
"May 15, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045228341
"May 16, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045482187
"May 17, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045377023
"May 18, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045420299
"May 19, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045357615
"May 20, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.044672687
"May 21, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045427833
"May 22, 2022",Exporter,Norway,Importer,Belgium,ZPT,0.045394546
