Month of Date,Sector,adjusted_unit,Country,adjusted_unit_value
February 2024,Power,Gigawatt-hour,*,236654.750359
January 2024,Power,Gigawatt-hour,*,252371.648119
December 2023,Power,Gigawatt-hour,*,244127.048606
November 2023,Power,Gigawatt-hour,*,227716.378901
October 2023,Power,Gigawatt-hour,*,227954.217177
September 2023,Power,Gigawatt-hour,*,245645.512066
August 2023,Power,Gigawatt-hour,*,265452.75371
July 2023,Power,Gigawatt-hour,*,266324.616189
June 2023,Power,Gigawatt-hour,*,242885.897374
May 2023,Power,Gigawatt-hour,*,234808.84582
April 2023,Power,Gigawatt-hour,*,224515.054634
March 2023,Power,Gigawatt-hour,*,234747.116445
February 2023,Power,Gigawatt-hour,*,224432.296256
January 2023,Power,Gigawatt-hour,*,234923.896431
December 2022,Power,Gigawatt-hour,*,244400.150563
November 2022,Power,Gigawatt-hour,*,223067.226702
October 2022,Power,Gigawatt-hour,*,220515.878109
September 2022,Power,Gigawatt-hour,*,230527.395699
August 2022,Power,Gigawatt-hour,*,254178.532139
July 2022,Power,Gigawatt-hour,*,259941.300656
June 2022,Power,Gigawatt-hour,*,246664.317151
May 2022,Power,Gigawatt-hour,*,233629.629455
April 2022,Power,Gigawatt-hour,*,223288.378233
March 2022,Power,Gigawatt-hour,*,245839.730238
February 2022,Power,Gigawatt-hour,*,232791.020127
January 2022,Power,Gigawatt-hour,*,248603.560957
December 2021,Power,Gigawatt-hour,*,240620.407576
November 2021,Power,Gigawatt-hour,*,228014.131863
October 2021,Power,Gigawatt-hour,*,231079.965958
September 2021,Power,Gigawatt-hour,*,228342.171854
August 2021,Power,Gigawatt-hour,*,251460.474635
July 2021,Power,Gigawatt-hour,*,259805.133239
June 2021,Power,Gigawatt-hour,*,243482.346094
May 2021,Power,Gigawatt-hour,*,236446.715262
April 2021,Power,Gigawatt-hour,*,230273.131236
March 2021,Power,Gigawatt-hour,*,249638.862067
February 2021,Power,Gigawatt-hour,*,232116.141047
January 2021,Power,Gigawatt-hour,*,261377.677974
December 2020,Power,Gigawatt-hour,*,267909.527161
November 2020,Power,Gigawatt-hour,*,232989.856947
October 2020,Power,Gigawatt-hour,*,236963.533925
September 2020,Power,Gigawatt-hour,*,248747.399975
August 2020,Power,Gigawatt-hour,*,273167.941876
July 2020,Power,Gigawatt-hour,*,265134.827401
June 2020,Power,Gigawatt-hour,*,235030.357607
May 2020,Power,Gigawatt-hour,*,214267.52191
April 2020,Power,Gigawatt-hour,*,213917.57104
March 2020,Power,Gigawatt-hour,*,237586.009912
February 2020,Power,Gigawatt-hour,*,234821.217541
January 2020,Power,Gigawatt-hour,*,260644.088652
December 2019,Power,Gigawatt-hour,*,256931.901592
November 2019,Power,Gigawatt-hour,*,241748.569851
October 2019,Power,Gigawatt-hour,*,237822.712772
September 2019,Power,Gigawatt-hour,*,240219.998257
August 2019,Power,Gigawatt-hour,*,261478.50805
July 2019,Power,Gigawatt-hour,*,274606.889091
June 2019,Power,Gigawatt-hour,*,246826.404573
May 2019,Power,Gigawatt-hour,*,243522.724059
April 2019,Power,Gigawatt-hour,*,241947.428233
March 2019,Power,Gigawatt-hour,*,246325.106764
February 2019,Power,Gigawatt-hour,*,247885.315825
January 2019,Power,Gigawatt-hour,*,263497.640441
September 2025,Household,Gigawatt-hour,*,106513.045123
August 2025,Household,Gigawatt-hour,*,109996.440838
July 2025,Household,Gigawatt-hour,*,109050.444504
June 2025,Household,Gigawatt-hour,*,111059.115269
May 2025,Household,Gigawatt-hour,*,117778.860531
April 2025,Household,Gigawatt-hour,*,109925.678762
March 2025,Household,Gigawatt-hour,*,97569.881726
February 2025,Household,Gigawatt-hour,*,95613.876334
January 2025,Household,Gigawatt-hour,*,126573.215489
December 2024,Household,Gigawatt-hour,*,130718.412867
November 2024,Household,Gigawatt-hour,*,121101.643373
October 2024,Household,Gigawatt-hour,*,123359.379325
September 2024,Household,Gigawatt-hour,*,125407.276834
August 2024,Household,Gigawatt-hour,*,128796.800131
July 2024,Household,Gigawatt-hour,*,125560.560129
June 2024,Household,Gigawatt-hour,*,118800.257166
May 2024,Household,Gigawatt-hour,*,134719.390317
April 2024,Household,Gigawatt-hour,*,120340.502374
March 2024,Household,Gigawatt-hour,*,130243.612242
February 2024,Household,Gigawatt-hour,*,83997.045004
January 2024,Household,Gigawatt-hour,*,123441.878995
December 2023,Household,Gigawatt-hour,*,153739.276982
November 2023,Household,Gigawatt-hour,*,122547.234746
October 2023,Household,Gigawatt-hour,*,88887.839665
September 2023,Household,Gigawatt-hour,*,102415.414395
August 2023,Household,Gigawatt-hour,*,110916.875104
July 2023,Household,Gigawatt-hour,*,111457.132114
June 2023,Household,Gigawatt-hour,*,112436.945824
May 2023,Household,Gigawatt-hour,*,129840.327761
April 2023,Household,Gigawatt-hour,*,109892.040616
