Carbon Intensity,Country,Crude list,Year of YearReported (Custom SQL Query1),ProductionDataValue
High,Angola,"Kissanje Blend, Plutonio",2013,335.89
High,Algeria,"Algerian Condensate, Saharan Blend",2013,1325
Very High,Venezuela,"Merey-16, Santa Barbara, Hamaca, Boscan",2013,880.8
Very High,Nigeria,"Qua Iboe, Escravos, Brass River",2013,635.82
Very High,Malaysia,Miri,2013,65
Very High,Libya,"Sirtica, Sarir, Mellitah, Abu Attifel, Brega, Zueitina",2013,405
Very High,Iran,"Iran Light, Iran Heavy",2013,1775
Very High,Indonesia,"Minas, Duri",2013,350
Very High,Gabon,Rabi Light,2013,63.33
Very High,Colombia,Castilla,2013,338.6
Very High,Canada,"Cold Lake Blend, Syncrude Sweet Premium",2013,745.2
Very High,Australia,Northwest Shelf Condensate,2013,88.85
Very Low,Saudi Arabia,"Arab Light, Arab Medium",2014,6927.67
Very Low,Norway,"Ekofisk Blend, Gullfaks Blend, Heidrun, Statfjord Blend, Gudrun Blend",2014,600.75
Very Low,Kuwait,Kuwait,2014,2678
Very Low,Iran,South Pars Condensate,2014,400
Very Low,Egypt,Western Desert Blend,2014,220
Very Low,China,Shengli,2014,558.9
Very Low,Abu Dhabi,Upper Zakum,2014,590
Low,United States,"Bakken, Mars Blend",2014,1283.56
Low,Saudi Arabia,Arab Heavy,2014,1100
Low,Norway,Skarv,2014,58.25
Low,Nigeria,"Akpo Blend, Bonga, Bonny Light",2014,504.7
Low,Mexico,Isthmus,2014,864
Low,Kazakhstan,Tengiz,2014,60.04
Low,Egypt,Belayim Blend,2014,88
Low,Dubai,Dubai,2014,30
Low,China,"Daqing, Peng Lai",2014,867.81
Low,Brazil,"Sapinhoa, Sururu",2014,100
Medium,United States,"Eagle Ford, Alaska North Slope, Thunder Horse",2014,2027.54
Medium,United Kingdom,Forties Blend,2014,329.7
Medium,Turkmenistan,Cheleken,2014,78.79
Medium,Saudi Arabia,Arab Extra Light,2014,1250
Medium,Russia,"Urals, Sokol, Siberian Light",2014,9863.57
Medium,Qatar,"Qatar Marine, Dukhan",2014,424
Medium,Norway,"Troll, Oseberg, Asgard Blend",2014,499.66
Medium,Nigeria,Amenam Blend,2014,72
Medium,Neutral Zone,Wafra,2014,136.5
Medium,Libya,Bouri,2014,34
Medium,Iran,Foroozan Blend,2014,240
Medium,Ghana,Jubilee,2014,102.03
Medium,Equatorial Guinea,"Alba Condensate, New Zafiro",2014,121.33
Medium,Ecuador,Napo,2014,161.93
Medium,Denmark,Danish Crude Blend,2014,140.22
Medium,Congo (Brazzaville),Djeno,2014,168.88
Medium,Canada,Hibernia,2014,145.96
Medium,Brazil,"Roncador, Tupi, Frade, Jubarte",2014,625.32
Medium,Azerbaijan,Azeri Light,2014,100.55
Medium,Australia,Gippsland,2014,53.7
Medium,Argentina,Escalante,2014,149.12
Medium,Angola,"Pazflor, Nemba, Mondo, Dalia, Cabinda, Girassol, Hungo",2014,1052.76
Medium,Abu Dhabi,Murban,2014,1400
High,Vietnam,"Su Tu Den, Bach Ho",2014,192
High,United States,"West Texas Sour, West Texas Intermediate",2014,1195.57
High,Nigeria,"Okono Blend, Erha, Forcados, Agbami, Usan",2014,682.52
High,Mexico,Maya,2014,1266
High,Malaysia,Tapis,2014,110
High,Libya,"Amna, El-Sharara, Es Sider",2014,223
High,Iraq,"Kirkuk, Basrah Light",2014,3112.59
High,Iran,Nowruz-Soroush,2014,100
High,Egypt,Suez Blend,2014,58.8
High,Ecuador,Oriente,2014,363.1
High,China,"Panyu, Nanhai Light, Changqing",2014,593.86
High,Chad,Doba,2014,91.01
High,Brazil,Marlim,2014,541
High,Australia,Pyrenees,2014,37.02
High,Angola,"Plutonio, Kissanje Blend",2014,262.86
High,Algeria,"Saharan Blend, Algerian Condensate",2014,1124.53
Very High,Venezuela,"Boscan, Hamaca, Santa Barbara, Merey-16",2014,801.52
Very High,Nigeria,"Brass River, Escravos, Qua Iboe",2014,568.3
Very High,Malaysia,Miri,2014,70
Very High,Libya,"Zueitina, Brega, Abu Attifel, Mellitah, Sarir, Sirtica",2014,236
Very High,Iran,"Iran Heavy, Iran Light",2014,1750
Very High,Indonesia,"Duri, Minas",2014,295
Very High,Gabon,Rabi Light,2014,60.86
Very High,Colombia,Castilla,2014,337
Very High,Canada,"Syncrude Sweet Premium, Cold Lake Blend",2014,762.2
Very High,Australia,Northwest Shelf Condensate,2014,104.6
Very Low,Saudi Arabia,"Arab Medium, Arab Light",2015,6956.17
Very Low,Norway,"Gudrun Blend, Statfjord Blend, Heidrun, Gullfaks Blend, Ekofisk Blend",2015,670
Very Low,Kuwait,Kuwait,2015,2825.48
Very Low,Iran,South Pars Condensate,2015,500
Very Low,Egypt,Western Desert Blend,2015,228
Very Low,China,Shengli,2015,554.23
Very Low,Brazil,Buzios,2015,7
Very Low,Abu Dhabi,Upper Zakum,2015,614
Low,United States,"Mars Blend, Bakken",2015,1338.3
Low,Saudi Arabia,Arab Heavy,2015,1600
Low,Norway,Skarv,2015,52.92
Low,Nigeria,"Bonny Light, Bonga, Akpo Blend",2015,531.8
Low,Mexico,Isthmus,2015,838
Low,Kazakhstan,Tengiz,2015,73.48
Low,Egypt,Belayim Blend,2015,96
Low,Dubai,Dubai,2015,26.58
Low,China,"Peng Lai, Daqing",2015,840.34
Low,Brazil,"Atapu, Sapinhoa",2015,190
Medium,United States,"Thunder Horse, Alaska North Slope, Eagle Ford",2015,2168.8
Medium,United Kingdom,Forties Blend,2015,414.54
Medium,Turkmenistan,Cheleken,2015,92.65
Medium,Syria,"Syrian Light, Souedieh",2015,59.5
Medium,Saudi Arabia,Arab Extra Light,2015,1350
Medium,Russia,"Siberian Light, Sokol, Sakhalin Blend, Urals",2015,9887.56
Medium,Qatar,"Dukhan, Qatar Marine",2015,415
Medium,Norway,"Asgard Blend, Oseberg, Troll",2015,457.66
Medium,Nigeria,Amenam Blend,2015,68.5
Medium,Neutral Zone,Wafra,2015,46.9
Medium,Libya,Bouri,2015,40
Medium,Iran,Foroozan Blend,2015,220
Medium,Ghana,Jubilee,2015,106.71
Medium,Equatorial Guinea,"New Zafiro, Alba Condensate",2015,114.54
Medium,Ecuador,Napo,2015,170.02
Medium,Denmark,Danish Crude Blend,2015,129.62
Medium,Congo (Brazzaville),Djeno,2015,156.68
Medium,Canada,Hibernia,2015,90.52
Medium,Brazil,"Jubarte, Frade, Tupi, Roncador",2015,874.29
Medium,Azerbaijan,Azeri Light,2015,92
Medium,Australia,Gippsland,2015,33.59
Medium,Argentina,Escalante,2015,149.97
Medium,Angola,"Hungo, Girassol, Cabinda, Dalia, Mondo, Nemba, Pazflor, Sangos",2015,1093.38
Medium,Abu Dhabi,Murban,2015,1600
High,Vietnam,"Bach Ho, Su Tu Den",2015,170
High,United States,"West Texas Intermediate, West Texas Sour",2015,1154.74
High,Nigeria,"Usan, Agbami, Forcados, Erha, Okono Blend",2015,645
High,Mexico,Maya,2015,1152
High,Malaysia,Tapis,2015,103.3
High,Libya,"Es Sider, El-Sharara, Amna",2015,59
High,Iraq,"Basrah Light, Kirkuk, Basrah Heavy",2015,3996
High,Iran,Nowruz-Soroush,2015,80
High,Egypt,Suez Blend,2015,60.3
High,Ecuador,Oriente,2015,366.22
High,China,"Changqing, Nanhai Light, Panyu",2015,571.13
High,Chad,Doba,2015,132
High,Brazil,Marlim,2015,448
High,Australia,Pyrenees,2015,32.92
High,Angola,"Kissanje Blend, Plutonio",2015,295.69
High,Algeria,"Algerian Condensate, Saharan Blend",2015,1062.87
Very High,Venezuela,"Merey-16, Santa Barbara, Hamaca, Boscan",2015,763.81
Very High,Nigeria,"Qua Iboe, Escravos, Brass River",2015,626
Very High,Malaysia,"Miri, Kimanis",2015,205
Very High,Libya,"Sirtica, Sarir, Mellitah, Abu Attifel, Brega, Zueitina",2015,284
Very High,Iran,"Iran Light, Iran Heavy",2015,2112
Very High,Indonesia,"Minas, Duri",2015,252.51
Very High,Gabon,"Rabi Light, Oguendjo Blend",2015,99
Very High,Colombia,Castilla,2015,348
Very High,Canada,"Cold Lake Blend, Syncrude Sweet Premium",2015,806.5
Very High,Australia,Northwest Shelf Condensate,2015,92.99
Very Low,United Kingdom,Clair,2016,20
Very Low,Saudi Arabia,"Arab Light, Arab Medium",2016,7100
Very Low,Norway,"Ekofisk Blend, Gullfaks Blend, Heidrun, Statfjord Blend, Gudrun Blend",2016,662.76
Very Low,Kuwait,Kuwait,2016,2954.27
Very Low,Iran,South Pars Condensate,2016,630
Very Low,Egypt,Western Desert Blend,2016,292.2
Very Low,China,Shengli,2016,480
Very Low,Brazil,Buzios,2016,9
Very Low,Abu Dhabi,Upper Zakum,2016,660
Low,United States,"Bakken, Mars Blend",2016,1238
Low,United Kingdom,Flotta Gold,2016,89
Low,Saudi Arabia,Arab Heavy,2016,1800
Low,Norway,Skarv,2016,39.58
Low,Nigeria,"Akpo Blend, Bonga, Bonny Light",2016,529.58
Low,Mexico,Isthmus,2016,785
Low,Kazakhstan,Tengiz,2016,24.71
Low,Egypt,Belayim Blend,2016,88
Low,Dubai,Dubai,2016,25.65
Low,China,"Daqing, Peng Lai",2016,799.51
Low,Brazil,"Sapinhoa, Sepia",2016,236
Medium,United States,"Eagle Ford, Alaska North Slope, Thunder Horse",2016,1790.35
Medium,United Kingdom,Forties Blend,2016,421
Medium,Turkmenistan,Cheleken,2016,90.3
Medium,Syria,"Souedieh, Syrian Light",2016,31.5
Medium,Saudi Arabia,Arab Extra Light,2016,1310
Medium,Russia,"Urals, Sakhalin Blend, Sokol, Siberian Light",2016,10146.31
Medium,Qatar,"Qatar Marine, Dukhan",2016,376.27
Medium,Norway,"Troll, Oseberg, Asgard Blend",2016,435.58
Medium,Nigeria,Amenam Blend,2016,76.82
Medium,Neutral Zone,Wafra,2016,0
Medium,Libya,Bouri,2016,40
Medium,Iran,Foroozan Blend,2016,242
Medium,Ghana,Jubilee,2016,77.87
Medium,Equatorial Guinea,"Alba Condensate, New Zafiro",2016,113.75
Medium,Ecuador,Napo,2016,167.14
Medium,Denmark,Danish Crude Blend,2016,114.76
Medium,Congo (Brazzaville),Djeno,2016,153.42
Medium,Canada,Hibernia,2016,136.37
Medium,Brazil,"Roncador, Tupi, Frade, Jubarte",2016,1040.43
Medium,Azerbaijan,Azeri Light,2016,92
Medium,Australia,Gippsland,2016,39.62
Medium,Argentina,Escalante,2016,142.84
Medium,Angola,"Sangos, Pazflor, Nemba, Mondo, Dalia, Cabinda, Girassol, Hungo, Olombendo",2016,1064.07
Medium,Abu Dhabi,Murban,2016,1620
High,Vietnam,"Su Tu Den, Bach Ho",2016,157.95
High,United States,"West Texas Sour, West Texas Intermediate",2016,1220
High,Nigeria,"Okono Blend, Erha, Forcados, Agbami, Usan",2016,508.05
High,Mexico,Maya,2016,1103
High,Malaysia,Tapis,2016,100
High,Libya,"Amna, El-Sharara, Es Sider",2016,72
High,Iraq,"Basrah Heavy, Kirkuk, Basrah Light",2016,4391
High,Iran,Nowruz-Soroush,2016,100
High,Egypt,Suez Blend,2016,67.7
High,Ecuador,Oriente,2016,363.09
High,China,"Panyu, Nanhai Light, Changqing",2016,534.09
High,Chad,Doba,2016,117
High,Brazil,Marlim,2016,405
High,Australia,"Pyrenees, Vincent",2016,44.84
High,Angola,"Plutonio, Kissanje Blend",2016,256.34
High,Algeria,"Saharan Blend, Algerian Condensate",2016,1046.9
Very High,Venezuela,"Boscan, Hamaca, Santa Barbara, Merey-16",2016,738.76
Very High,Nigeria,"Brass River, Escravos, Qua Iboe",2016,465.63
Very High,Malaysia,"Kimanis, Miri",2016,230
Very High,Libya,"Zueitina, Brega, Abu Attifel, Mellitah, Sarir, Sirtica",2016,287
Very High,Iran,"Iran Heavy, Iran Light",2016,2665
Very High,Indonesia,"Duri, Minas",2016,263
Very High,Gabon,"Oguendjo Blend, Rabi Light",2016,104.81
Very High,Colombia,Castilla,2016,360.07
Very High,Canada,"Syncrude Sweet Premium, Cold Lake Blend",2016,782.81
Very High,Australia,Northwest Shelf Condensate,2016,100.85
Very Low,United Kingdom,"Clair, Schiehallion Blend",2017,46
Very Low,Saudi Arabia,"Arab Medium, Arab Light",2017,7043
Very Low,Norway,"Gudrun Blend, Statfjord Blend, Heidrun, Gullfaks Blend, Ekofisk Blend",2017,614.01
Very Low,Kuwait,Kuwait,2017,2704.54
Very Low,Iran,South Pars Condensate,2017,560
Very Low,Egypt,Western Desert Blend,2017,300
Very Low,China,Shengli,2017,474.82
Very Low,Brazil,Buzios,2017,2
Very Low,Abu Dhabi,Upper Zakum,2017,700
Low,United States,"Mars Blend, Bakken",2017,1234.2
Low,United Kingdom,Flotta Gold,2017,95
Low,Saudi Arabia,Arab Heavy,2017,1348
Low,Norway,Skarv,2017,27.67
Low,Nigeria,"Bonny Light, Bonga, Akpo Blend",2017,476.98
Low,Mexico,Isthmus,2017,689
Low,Kazakhstan,Tengiz,2017,623.07
Low,Egypt,Belayim Blend,2017,88
Low,Dubai,Dubai,2017,24.83
Low,China,"Peng Lai, Daqing",2017,744.01
Low,Brazil,"Mero, Sapinhoa",2017,254.51
Medium,United States,"Thunder Horse, Alaska North Slope, Eagle Ford",2017,1898.94
Medium,United Kingdom,Forties Blend,2017,408
Medium,Turkmenistan,Cheleken,2017,83.95
Medium,Syria,"Syrian Light, Souedieh",2017,37
Medium,Saudi Arabia,Arab Extra Light,2017,1310
Medium,Russia,"Siberian Light, Sokol, Sakhalin Blend, Urals",2017,9982.62
Medium,Qatar,"Dukhan, Qatar Marine",2017,342.55
Medium,Norway,"Asgard Blend, Oseberg, Troll",2017,412.17
Medium,Nigeria,Amenam Blend,2017,91.84
Medium,Neutral Zone,Wafra,2017,0
Medium,Libya,Bouri,2017,37
Medium,Iran,Foroozan Blend,2017,242
Medium,Ghana,"Jubilee, Sankofa",2017,102.64
Medium,Equatorial Guinea,"New Zafiro, Alba Condensate",2017,96.21
Medium,Ecuador,Napo,2017,164.08
Medium,Denmark,Danish Crude Blend,2017,115.51
Medium,Congo (Brazzaville),Djeno,2017,189.04
Medium,Canada,Hibernia,2017,145.31
Medium,Brazil,"Jubarte, Frade, Tupi, Roncador",2017,1201.17
Medium,Azerbaijan,Azeri Light,2017,76.71
Medium,Australia,Gippsland,2017,34.16
Medium,Argentina,Escalante,2017,132.35
Medium,Angola,"Olombendo, Hungo, Girassol, Cabinda, Dalia, Mondo, Nemba, Pazflor, Sangos",2017,1034.78
Medium,Abu Dhabi,"Murban, Umm Lulu",2017,1524
High,Vietnam,"Bach Ho, Su Tu Den",2017,121.29
High,United States,"West Texas Intermediate, West Texas Sour",2017,1360
High,Nigeria,"Usan, Agbami, Forcados, Erha, Okono Blend",2017,619.1
High,Mexico,Maya,2017,1049
High,Malaysia,Tapis,2017,83
High,Libya,"Es Sider, El-Sharara, Amna",2017,424
High,Iraq,"Basrah Light, Kirkuk, Basrah Heavy",2017,4421.58
High,Iran,Nowruz-Soroush,2017,103
High,Egypt,Suez Blend,2017,64.33
High,Ecuador,Oriente,2017,359.14
High,Colombia,Vasconia,2017,232.4
High,China,"Changqing, Nanhai Light, Panyu",2017,525.3
High,Chad,Doba,2017,99
High,Brazil,Marlim,2017,373.14
High,Australia,"Vincent, Pyrenees",2017,43.46
High,Angola,"Kissanje Blend, Plutonio",2017,211.36
High,Algeria,"Algerian Condensate, Saharan Blend",2017,981.5
Very High,Venezuela,"Merey-16, Santa Barbara, Hamaca, Boscan",2017,695.58
Very High,Nigeria,"Qua Iboe, Escravos, Brass River",2017,482.27
Very High,Malaysia,"Miri, Kimanis",2017,267.9
Very High,Libya,"Sirtica, Sarir, Mellitah, Abu Attifel, Brega, Zueitina",2017,333
Very High,Iran,"Iran Light, Iran Heavy",2017,2875
Very High,Indonesia,"Minas, Duri",2017,226
Very High,Gabon,"Rabi Light, Oguendjo Blend",2017,91.5
Very High,Colombia,Castilla,2017,349
Very High,Canada,"Cold Lake Blend, Syncrude Sweet Premium",2017,821.15
Very High,Australia,Northwest Shelf Condensate,2017,89.88
Very Low,United Kingdom,"Schiehallion Blend, Clair",2018,114
Very Low,Saudi Arabia,"Arab Light, Arab Medium",2018,7368
Very Low,Norway,"Ekofisk Blend, Gullfaks Blend, Heidrun, Statfjord Blend, Gudrun Blend",2018,600.91
Very Low,Kuwait,Kuwait,2018,2651.38
Very Low,Iran,South Pars Condensate,2018,660
Very Low,Egypt,Western Desert Blend,2018,318
Very Low,China,Shengli,2018,470.12
Very Low,Brazil,Buzios,2018,33
Very Low,Australia,Wheatstone Condensate,2018,29.27
Very Low,Abu Dhabi,Upper Zakum,2018,700
Low,United States,"Bakken, Mars Blend",2018,1488.23
Low,United Kingdom,Flotta Gold,2018,65
Low,Saudi Arabia,Arab Heavy,2018,1348
Low,Norway,Skarv,2018,26.42
Low,Nigeria,"Akpo Blend, Bonga, Bonny Light, Egina",2018,470.15
Low,Mexico,Isthmus,2018,553
Low,Kuwait,Kuwait Export Heavy,2018,12
Low,Kazakhstan,Tengiz,2018,621.43
Low,Egypt,Belayim Blend,2018,70
Low,Dubai,Dubai,2018,23.92
Low,China,"Daqing, Peng Lai",2018,703.85
Low,Canada,Hebron,2018,61
Low,Brazil,"Sapinhoa, Mero, Sururu",2018,281
Medium,United States,"Eagle Ford, Alaska North Slope, Thunder Horse",2018,2000.33
Medium,United Kingdom,Forties Blend,2018,376
Medium,Turkmenistan,Cheleken,2018,90
Medium,Syria,"Souedieh, Syrian Light",2018,64
Medium,Saudi Arabia,Arab Extra Light,2018,1350
Medium,Russia,"Urals, Sakhalin Blend, Sokol, Siberian Light",2018,9839.05
Medium,Qatar,"Qatar Marine, Dukhan",2018,337.3
Medium,Norway,"Troll, Oseberg, Asgard Blend",2018,363.42
Medium,Nigeria,Amenam Blend,2018,117.1
Medium,Neutral Zone,Wafra,2018,0
Medium,Libya,Bouri,2018,37
Medium,Kuwait,Kuwait Super Light,2018,73.8
Medium,Iran,Foroozan Blend,2018,190
Medium,Ghana,"Sankofa, Jubilee",2018,109.31
Medium,Equatorial Guinea,"Alba Condensate, New Zafiro",2018,84.24
Medium,Ecuador,Napo,2018,167.58
Medium,Denmark,Danish Crude Blend,2018,97.24
Medium,Congo (Brazzaville),Djeno,2018,249.53
Medium,Canada,Hibernia,2018,112.52
Medium,Brazil,"Roncador, Tupi, Frade, Jubarte",2018,1260.8
Medium,Azerbaijan,Azeri Light,2018,76.71
Medium,Australia,Gippsland,2018,30.36
Medium,Argentina,Escalante,2018,146.6
Medium,Angola,"Sangos, Pazflor, Nemba, Mondo, Dalia, Cabinda, Girassol, Hungo, Olombendo",2018,954.82
Medium,Abu Dhabi,"Umm Lulu, Murban",2018,1552
High,Vietnam,"Su Tu Den, Bach Ho",2018,111.84
High,United States,"West Texas Sour, West Texas Intermediate (Midland), West Texas Intermediate",2018,4004
High,Nigeria,"Okono Blend, Erha, Forcados, Agbami, Usan",2018,628.87
High,Mexico,Maya,2018,1073
High,Malaysia,Tapis,2018,83
High,Libya,"Amna, El-Sharara, Es Sider",2018,476
High,Iraq,"Basrah Heavy, Kirkuk, Basrah Light",2018,4416.96
High,Iran,Nowruz-Soroush,2018,103
High,Egypt,Suez Blend,2018,61.8
High,Ecuador,Oriente,2018,344.03
High,Colombia,Vasconia,2018,227.62
High,China,"Panyu, Nanhai Light, Changqing",2018,533.22
High,Chad,Doba,2018,114.52
High,Brazil,Marlim,2018,343
High,Australia,"Pyrenees, Vincent",2018,25.53
High,Angola,"Plutonio, Kissanje Blend",2018,176.91
High,Algeria,"Saharan Blend, Algerian Condensate",2018,974.72
Very High,Venezuela,"Boscan, Hamaca, Santa Barbara, Merey-16",2018,632.94
Very High,Nigeria,"Brass River, Escravos, Qua Iboe",2018,495.6
Very High,Malaysia,"Kimanis, Miri",2018,265.86
Very High,Libya,"Zueitina, Brega, Abu Attifel, Mellitah, Sarir, Sirtica",2018,363
Very High,Iran,"Iran Heavy, Iran Light",2018,2669
Very High,Indonesia,"Duri, Minas",2018,206
Very High,Gabon,"Oguendjo Blend, Rabi Light",2018,90.5
Very High,Colombia,Castilla,2018,394.5
Very High,Canada,"Syncrude Sweet Premium, Cold Lake Blend",2018,860.06
Very High,Australia,Northwest Shelf Condensate,2018,93.32
Very Low,United Kingdom,"Clair, Schiehallion Blend",2019,138
Very Low,Saudi Arabia,"Arab Medium, Arab Light",2019,7114.69
Very Low,Norway,"Gudrun Blend, Johan Sverdrup, Statfjord Blend, Heidrun, Gullfaks Blend, Ekofisk Blend",2019,603.75
Very Low,Kuwait,Kuwait,2019,2557.13
Very Low,Iran,South Pars Condensate,2019,650
Very Low,Egypt,Western Desert Blend,2019,333
Very Low,China,Shengli,2019,470.12
Very Low,Brazil,Buzios,2019,250.89
Very Low,Australia,Wheatstone Condensate,2019,48.85
Very Low,Abu Dhabi,Upper Zakum,2019,700
Low,United States,"Mars Blend, Bakken",2019,1687.58
Low,United Kingdom,Flotta Gold,2019,57
Low,Saudi Arabia,Arab Heavy,2019,1690.44
Low,Norway,Skarv,2019,22
Low,Nigeria,"Egina, Bonny Light, Bonga, Akpo Blend",2019,633.23
Low,Mexico,Isthmus,2019,482
Low,Kuwait,Kuwait Export Heavy,2019,11
Low,Kazakhstan,Tengiz,2019,646.61
Low,Egypt,Belayim Blend,2019,70
Low,Dubai,Dubai,2019,23.58
Low,China,"Peng Lai, Daqing",2019,679.18
Low,Canada,Hebron,2019,111.57
Low,Brazil,"Sururu, Mero, Sapinhoa",2019,285.05
Low,Australia,Ichthys Condensate,2019,59.18
Medium,United States,"Thunder Horse, Alaska North Slope, Eagle Ford",2019,1934
Medium,United Kingdom,Forties Blend,2019,350
Medium,Turkmenistan,Cheleken,2019,90
Medium,Syria,"Syrian Light, Souedieh",2019,89
Medium,Saudi Arabia,Arab Extra Light,2019,1030.58
Medium,Russia,"Siberian Light, Sokol, Sakhalin Blend, Urals",2019,9219.34
Medium,Qatar,"Dukhan, Qatar Marine",2019,321.75
Medium,Norway,"Asgard Blend, Oseberg, Troll",2019,353.67
Medium,Nigeria,Amenam Blend,2019,91.1
Medium,Neutral Zone,Wafra,2019,0
Medium,Libya,Bouri,2019,37
Medium,Kuwait,Kuwait Super Light,2019,108.01
Medium,Iran,Foroozan Blend,2019,55
Medium,Guyana,Liza,2019,0
Medium,Ghana,"Jubilee, Sankofa",2019,130.13
Medium,Equatorial Guinea,"New Zafiro, Alba Condensate",2019,82.8
Medium,Ecuador,Napo,2019,186.49
Medium,Denmark,Danish Crude Blend,2019,84.99
Medium,Congo (Brazzaville),Djeno,2019,252.05
Medium,Canada,Hibernia,2019,101.96
Medium,Brazil,"Jubarte, Tupi, Roncador, Frade",2019,1379.26
Medium,Azerbaijan,Azeri Light,2019,76.71
Medium,Australia,Gippsland,2019,27.26
Medium,Argentina,Escalante,2019,149.11
Medium,Angola,"Olombendo, Mostarda, Hungo, Girassol, Cabinda, Dalia, Mondo, Nemba, Pazflor, Sangos",2019,873.56
Medium,Abu Dhabi,"Murban, Umm Lulu",2019,1633
High,Vietnam,"Bach Ho, Su Tu Den",2019,89
High,United States,"West Texas Intermediate, West Texas Intermediate (Midland), West Texas Sour",2019,4481
High,Nigeria,"Usan, Agbami, Forcados, Erha",2019,543.22
High,Mexico,Maya,2019,1061
High,Malaysia,Tapis,2019,90
High,Libya,"Es Sider, El-Sharara, Amna",2019,660
High,Iraq,"Basrah Light, Kirkuk, Basrah Heavy",2019,4528.72
High,Iran,Nowruz-Soroush,2019,35
High,Egypt,Suez Blend,2019,62.3
High,Ecuador,Oriente,2019,341.98
High,Colombia,Vasconia,2019,223
High,China,"Changqing, Nanhai Light, Panyu",2019,534.75
High,Chad,Doba,2019,124.93
High,Brazil,Marlim,2019,264.69
High,Australia,"Vincent, Pyrenees",2019,60.6
High,Angola,"Kissanje Blend, Plutonio",2019,131.88
High,Algeria,"Algerian Condensate, Saharan Blend",2019,943.97
Very High,Venezuela,"Merey-16, Santa Barbara, Hamaca, Boscan",2019,535
Very High,Nigeria,"Qua Iboe, Escravos, Brass River",2019,480.58
Very High,Malaysia,"Miri, Kimanis",2019,247.49
Very High,Libya,"Sirtica, Sarir, Mellitah, Abu Attifel, Brega, Zueitina",2019,420
Very High,Iran,"Iran Light, Iran Heavy",2019,1933
Very High,Indonesia,"Minas, Duri",2019,190
Very High,Gabon,"Rabi Light, Oguendjo Blend",2019,93.59
Very High,Colombia,Castilla,2019,429.02
Very High,Canada,"Cold Lake Blend, Syncrude Sweet Premium",2019,869.05
Very High,Australia,Northwest Shelf Condensate,2019,90.41
Very Low,United Kingdom,"Schiehallion Blend, Clair",2020,134
Very Low,Saudi Arabia,"Arab Light, Arab Medium",2020,6610
Very Low,Norway,"Ekofisk Blend, Gullfaks Blend, Heidrun, Statfjord Blend, Johan Sverdrup, Gudrun Blend",2020,942.59
Very Low,Kuwait,Kuwait,2020,2222.59
Very Low,Iran,South Pars Condensate,2020,650
Very Low,Egypt,Western Desert Blend,2020,308.6
Very Low,China,Shengli,2020,475
Very Low,Brazil,Buzios,2020,513.03
Very Low,Australia,Wheatstone Condensate,2020,51.93
Very Low,Abu Dhabi,Upper Zakum,2020,645
Low,United States,"Bakken, Mars Blend",2020,1436.33
Low,United Kingdom,Flotta Gold,2020,51
Low,Saudi Arabia,Arab Heavy,2020,1513.71
Low,Norway,Skarv,2020,20.92
Low,Nigeria,"Akpo Blend, Bonga, Bonny Light, Egina",2020,551.84
Low,Mexico,Isthmus,2020,469
Low,Kuwait,Kuwait Export Heavy,2020,17.86
Low,Kazakhstan,Tengiz,2020,572.87
Low,Egypt,Belayim Blend,2020,66.5
Low,Dubai,Dubai,2020,22.75
Low,China,"Daqing, Peng Lai",2020,662
Low,Canada,Hebron,2020,141.18
Low,Brazil,"Sapinhoa, Mero, Sururu, Atapu",2020,329.38
Low,Australia,Ichthys Condensate,2020,69.04
Medium,United States,"Eagle Ford, Alaska North Slope, Thunder Horse",2020,1778
Medium,United Kingdom,Forties Blend,2020,311
Medium,Turkmenistan,Cheleken,2020,80
Medium,Syria,"Souedieh, Syrian Light",2020,130
Medium,Saudi Arabia,Arab Extra Light,2020,1035.77
Medium,Russia,"Urals, Sakhalin Blend, Sokol, Siberian Light",2020,8390.82
Medium,Qatar,"Qatar Marine, Dukhan",2020,335.92
Medium,Norway,"Troll, Oseberg, Asgard Blend",2020,339.41
Medium,Nigeria,Amenam Blend,2020,85.07
Medium,Neutral Zone,Wafra,2020,22
Medium,Libya,Bouri,2020,33
Medium,Kuwait,Kuwait Super Light,2020,140.98
Medium,Iraq,Basrah Medium,2020,0
Medium,Iran,Foroozan Blend,2020,20
Medium,Guyana,Liza,2020,74.64
Medium,Ghana,"Sankofa, Jubilee",2020,129.76
Medium,Equatorial Guinea,"Alba Condensate, New Zafiro",2020,84.84
Medium,Ecuador,Napo,2020,160.65
Medium,Denmark,Danish Crude Blend,2020,59.4
Medium,Congo (Brazzaville),Djeno,2020,226.23
Medium,Canada,Hibernia,2020,117.84
Medium,Brazil,"Frade, Roncador, Tupi, Jubarte",2020,1367.9
Medium,Azerbaijan,Azeri Light,2020,84.7
Medium,Australia,Gippsland,2020,24.4
Medium,Argentina,Escalante,2020,142.5
Medium,Angola,"Sangos, Pazflor, Nemba, Mondo, Dalia, Cabinda, Girassol, Hungo, Mostarda, Olombendo",2020,826.36
Medium,Abu Dhabi,"Umm Lulu, Murban",2020,1465.42
High,Vietnam,"Su Tu Den, Bach Ho",2020,93.02
High,United States,"West Texas Sour, West Texas Intermediate (Midland), West Texas Intermediate",2020,4248
High,Nigeria,"Erha, Forcados, Agbami, Usan",2020,492.37
High,Mexico,Maya,2020,1039
High,Malaysia,Tapis,2020,86.67
High,Libya,"Amna, El-Sharara, Es Sider",2020,186
