Country,Sector,Year of Date,Month of Date,adjusted_unit,adjusted_unit_value
Australia,Power,2022,January,Gigawatt-hour,8809.005713
Australia,Other,2022,January,Gigawatt-hour,2202.251426
Australia,Industrial,2022,January,Gigawatt-hour,10032.478722
Australia,Household,2022,January,Gigawatt-hour,3425.724446
Australia,Power,2022,February,Gigawatt-hour,8043.27636
Australia,Other,2022,February,Gigawatt-hour,2010.81909
Australia,Industrial,2022,February,Gigawatt-hour,9160.398082
Australia,Household,2022,February,Gigawatt-hour,3127.940813
Australia,Power,2022,March,Gigawatt-hour,8938.68445
Australia,Other,2022,March,Gigawatt-hour,2234.67111
Australia,Industrial,2022,March,Gigawatt-hour,10180.168394
Australia,Household,2022,March,Gigawatt-hour,3476.155063
Australia,Power,2022,April,Gigawatt-hour,9031.553906
Australia,Other,2022,April,Gigawatt-hour,2257.888479
Australia,Industrial,2022,April,Gigawatt-hour,10285.936384
Australia,Household,2022,April,Gigawatt-hour,3512.270958
Australia,Power,2022,May,Gigawatt-hour,9677.989808
Australia,Other,2022,May,Gigawatt-hour,2419.497455
Australia,Industrial,2022,May,Gigawatt-hour,11022.155056
Australia,Household,2022,May,Gigawatt-hour,3763.662704
Australia,Power,2022,June,Gigawatt-hour,8903.569637
Australia,Other,2022,June,Gigawatt-hour,2225.892407
Australia,Industrial,2022,June,Gigawatt-hour,10140.176529
Australia,Household,2022,June,Gigawatt-hour,3462.499299
Australia,Power,2022,July,Gigawatt-hour,9621.528976
Australia,Other,2022,July,Gigawatt-hour,2405.382241
Australia,Industrial,2022,July,Gigawatt-hour,10957.852447
Australia,Household,2022,July,Gigawatt-hour,3741.705713
Australia,Power,2022,August,Gigawatt-hour,11241.898217
Australia,Other,2022,August,Gigawatt-hour,2810.474551
Australia,Industrial,2022,August,Gigawatt-hour,12803.272965
Australia,Household,2022,August,Gigawatt-hour,4371.84931
Australia,Power,2022,September,Gigawatt-hour,9453.22854
Australia,Other,2022,September,Gigawatt-hour,2363.307135
Australia,Industrial,2022,September,Gigawatt-hour,10766.176943
Australia,Household,2022,September,Gigawatt-hour,3676.255538
Australia,Power,2022,October,Gigawatt-hour,8202.59644
Australia,Other,2022,October,Gigawatt-hour,2050.649107
Australia,Industrial,2022,October,Gigawatt-hour,9341.845947
Australia,Household,2022,October,Gigawatt-hour,3189.898614
Australia,Power,2022,November,Gigawatt-hour,7464.531847
Australia,Other,2022,November,Gigawatt-hour,1866.132964
Australia,Industrial,2022,November,Gigawatt-hour,8501.272374
Australia,Household,2022,November,Gigawatt-hour,2902.873491
Australia,Power,2022,December,Gigawatt-hour,7155.36654
Australia,Other,2022,December,Gigawatt-hour,1788.841635
Australia,Industrial,2022,December,Gigawatt-hour,8149.167443
Australia,Household,2022,December,Gigawatt-hour,2782.642537
Australia,Power,2021,January,Gigawatt-hour,8499.856795
Australia,Other,2021,January,Gigawatt-hour,2185.677459
Australia,Industrial,2021,January,Gigawatt-hour,10199.828163
Australia,Household,2021,January,Gigawatt-hour,3642.795775
Australia,Power,2021,February,Gigawatt-hour,7697.453841
Australia,Other,2021,February,Gigawatt-hour,1979.345277
Australia,Industrial,2021,February,Gigawatt-hour,9236.944605
Australia,Household,2021,February,Gigawatt-hour,3298.908784
Australia,Power,2021,March,Gigawatt-hour,7675.462326
Australia,Other,2021,March,Gigawatt-hour,1973.690313
Australia,Industrial,2021,March,Gigawatt-hour,9210.554798
Australia,Household,2021,March,Gigawatt-hour,3289.483858
Australia,Power,2021,April,Gigawatt-hour,8240.722927
Australia,Other,2021,April,Gigawatt-hour,2119.043042
Australia,Industrial,2021,April,Gigawatt-hour,9888.867513
Australia,Household,2021,April,Gigawatt-hour,3531.738399
Australia,Power,2021,May,Gigawatt-hour,9679.105328
Australia,Other,2021,May,Gigawatt-hour,2488.912797
Australia,Industrial,2021,May,Gigawatt-hour,11614.926393
Australia,Household,2021,May,Gigawatt-hour,4148.188002
Australia,Power,2021,June,Gigawatt-hour,9262.150212
Australia,Other,2021,June,Gigawatt-hour,2381.695774
Australia,Industrial,2021,June,Gigawatt-hour,11114.580257
Australia,Household,2021,June,Gigawatt-hour,3969.492954
Australia,Power,2021,July,Gigawatt-hour,9437.48274
Australia,Other,2021,July,Gigawatt-hour,2426.781273
Australia,Industrial,2021,July,Gigawatt-hour,11324.979278
Australia,Household,2021,July,Gigawatt-hour,4044.635458
Australia,Power,2021,August,Gigawatt-hour,10294.671481
Australia,Other,2021,August,Gigawatt-hour,2647.201242
Australia,Industrial,2021,August,Gigawatt-hour,12353.605782
Australia,Household,2021,August,Gigawatt-hour,4412.002067
Australia,Power,2021,September,Gigawatt-hour,8911.998049
Australia,Other,2021,September,Gigawatt-hour,2291.656636
Australia,Industrial,2021,September,Gigawatt-hour,10694.397651
Australia,Household,2021,September,Gigawatt-hour,3819.427731
Australia,Power,2021,October,Gigawatt-hour,8704.145436
Australia,Other,2021,October,Gigawatt-hour,2238.208823
